HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
30455b1a25b3ff348578d882812e4e7c94eb9e9e,Tue Mar 22 00:55:58 CET 2016,javapoet-clone7,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 53
79d83b201dea2fcd9eeee414d963b55136727aa6,Wed Apr 27 04:38:37 CEST 2016,javapoet-clone2,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 57
79d83b201dea2fcd9eeee414d963b55136727aa6,Wed Apr 27 04:38:37 CEST 2016,javapoet-clone2,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeWriter; FieldSpec; Builder; JavaFile; Builder; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; DeclaredTypeAsErrorType; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; CodeBlockTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [Everything]; [HasAnnotation]; [ExtendsOthers]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.21
46913cd91914f2b30f3730390c96b8143c260a46,Thu Nov 10 03:43:04 CET 2016,javapoet-clone11,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 60
46913cd91914f2b30f3730390c96b8143c260a46,Thu Nov 10 03:43:04 CET 2016,javapoet-clone11,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeWriter; FieldSpec; Builder; JavaFile; Builder; LineWrapper; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; DeclaredTypeAsErrorType; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; CodeBlockTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [Everything]; [HasAnnotation]; [ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.22
dfba6d7272931991e56b0d0ac4b969c17cd3f334,Sat May 13 15:09:14 CEST 2017,javapoet-clone13,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 60
dfba6d7272931991e56b0d0ac4b969c17cd3f334,Sat May 13 15:09:14 CEST 2017,javapoet-clone13,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeWriter; FieldSpec; Builder; JavaFile; Builder; LineWrapper; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; DeclaredTypeAsErrorType; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; CodeBlockTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [Everything]; [HasAnnotation]; [ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.22
a2f21df8124e71c5ee55614919b86bb1e3879a55,Sat Jan 27 05:32:23 CET 2018,javapoet-clone1,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 63
a2f21df8124e71c5ee55614919b86bb1e3879a55,Sat Jan 27 05:32:23 CET 2018,javapoet-clone1,com.squareup.javapoet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnotationSpec; Builder; Visitor; ClassName; CodeBlock; Builder; CodeBlockJoiner; CodeWriter; FieldSpec; Builder; JavaFile; Builder; LineWrapper; MethodSpec; Builder; ParameterizedTypeName; ParameterSpec; Builder; TypeName; TypeSpec; Builder; TypeVariableName; Util; WildcardTypeName; AbstractTypesTest; DeclaredTypeAsErrorType; AnnotatedTypeNameTest; IsAnnotated; ClassNameTest; OuterClass; $Outer; CodeBlockTest; FieldSpecTest; FileReadingTest; FileWritingTest; JavaFileTest; LineWrapperTest; MethodSpecTest; ParameterSpecTest; TestFiler; Source; TypeNameTest; TestGeneric; TypesEclipseTest; CompilationRule; TypeSpecTest; TypesTest; UtilTest; ArrayTypeName]; [NameAllocator; NameAllocatorTest]; [Parameterized]; [Recursive]; [AnnotationSpecTest]; [InnerClass]; [$Inner]; [Everything]; [HasAnnotation]; [ExtendsOthers]; [ExtendsIterableWithDefaultMethods]; [Inner]; [InnerGeneric]; [NestedNonGeneric]. LCC (Lack of Component Cohesion) = 0.22
a5db06d05f8bd799cef194af28ace07427e2d07e,Wed May 16 17:19:28 CEST 2018,javapoet-clone9,com.squareup.javapoet,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 66
