HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,JavaWriter,3,1,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,setCompressingTypes,3,1,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,isCompressingTypes,3,1,0
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,setIndent,3,1,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,getIndent,3,1,0
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitPackage,15,3,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitImports,3,1,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitImports,7,2,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitImports,15,4,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitStaticImports,3,1,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitStaticImports,15,4,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitCompressedType,9,2,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,compressType,38,8,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,isClassInPackage,11,4,2
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,isAmbiguous,3,1,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,beginInitializer,12,2,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,endInitializer,6,1,0
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,beginType,3,1,2
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,beginType,3,1,3
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,beginType,26,5,5
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,endType,7,1,0
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitField,3,1,2
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitField,3,1,3
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitField,19,3,4
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,beginMethod,3,1,4
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,beginMethod,44,9,5
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,beginConstructor,4,1,2
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,beginConstructor,4,1,3
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitJavadoc,17,3,2
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitSingleLineComment,7,1,2
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitEmptyLine,4,1,0
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitEnumValue,6,1,1
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitEnumValue,3,1,2
5eeae81953555b45b098b53dcda9dedaac3faed1,Sat Jan 11 08:39:35 CET 2014,javapoet-clone0,com.squareup.javawriter,JavaWriter,emitLastEnumValue,6,1,1
