HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriter,6,0,40,29,533,95,0,0,0.2,2,1,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\main\java\com\squareup\java\JavaWriter.java
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.squareup.java,JavaWriterTest,2,0,26,25,205,26,0,0,0.07692307692307693,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\test\java\com\squareup\java\JavaWriterTest.java
979eb1cb77cd6363db2b7e8e80aed2987bea7e8a,Sun Feb 03 23:30:29 CET 2013,javapoet,com.example,Binding,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\test\java\com\example\Binding.java
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriter,8,0,59,45,745,136,0,0,0.2542372881355932,2,1,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\main\java\com\squareup\javawriter\JavaWriter.java
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.squareup.javawriter,JavaWriterTest,2,0,42,40,377,49,0,0,0.07142857142857142,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\test\java\com\squareup\javawriter\JavaWriterTest.java
d9098957bf1c50aacb4dcb311a963392bd38515a,Thu Oct 24 02:56:28 CEST 2013,javapoet,com.example,Binding,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\test\java\com\example\Binding.java
620fdd08c8a018290ba3260b7d4e47c06c5c5ead,Fri Feb 22 00:21:20 CET 2013,javapoet,com.squareup.java,JavaWriter,6,0,43,32,578,104,0,0,0.23255813953488372,2,1,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\main\java\com\squareup\java\JavaWriter.java
620fdd08c8a018290ba3260b7d4e47c06c5c5ead,Fri Feb 22 00:21:20 CET 2013,javapoet,com.squareup.java,JavaWriterTest,2,0,30,29,253,30,0,0,0.1,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\test\java\com\squareup\java\JavaWriterTest.java
620fdd08c8a018290ba3260b7d4e47c06c5c5ead,Fri Feb 22 00:21:20 CET 2013,javapoet,com.example,Binding,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\test\java\com\example\Binding.java
5659e780ea81ab236a36f3285bdd35d1b61801d0,Sat Feb 02 23:18:31 CET 2013,javapoet,com.squareup.java,JavaWriter,6,0,40,28,530,95,0,0,0.2,2,1,C:\Users\Grazia\AppData\Local\Temp\RD-8032189847667731222\javapoet\src\main\java\com\squareup\java\JavaWriter.java
