,Deficient Encapsulation,Unutilized Abstraction,Feature Envy,Broken Hierarchy,Broken Modularization,Insufficient Modularization,Wide Hierarchy,Unnecessary Abstraction,Multifaceted Abstraction,Cyclically-dependent Modularization,Cyclic Hierarchy,Rebellious Hierarchy
Deficient Encapsulation,1.0,0.52,0.15,0.26,0.08,0.11,0.02,0.35,0.06,0.09,0.01,0.0
Unutilized Abstraction,0.16,1.0,0.02,0.14,0.03,0.03,0.01,0.25,0.02,0.02,0.0,0.0
Feature Envy,0.7,0.33,1.0,0.47,0.05,0.26,0.02,0.06,0.05,0.11,0.0,0.0
Broken Hierarchy,0.26,0.47,0.1,1.0,0.05,0.11,0.02,0.13,0.04,0.05,0.0,0.01
Broken Modularization,0.61,0.85,0.09,0.37,1.0,0.11,0.04,0.61,0.14,0.11,0.0,0.0
Insufficient Modularization,0.53,0.41,0.27,0.53,0.06,1.0,0.02,0.29,0.04,0.24,0.05,0.04
Wide Hierarchy,0.59,0.86,0.18,0.88,0.16,0.14,1.0,0.1,0.06,0.29,0.0,0.0
Unnecessary Abstraction,0.29,0.68,0.01,0.11,0.06,0.05,0.0,1.0,0.04,0.03,0.0,0.01
Multifaceted Abstraction,0.8,0.68,0.13,0.54,0.24,0.1,0.02,0.59,1.0,0.26,0.0,0.0
Cyclically-dependent Modularization,0.73,0.42,0.18,0.43,0.11,0.4,0.06,0.29,0.16,1.0,0.09,0.0
Cyclic Hierarchy,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Rebellious Hierarchy,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
