,Insufficient Modularization,Unutilized Abstraction,Broken Hierarchy,Feature Envy,Deficient Encapsulation,Multifaceted Abstraction,Cyclically-dependent Modularization,Imperative Abstraction,Cyclic Hierarchy,Unnecessary Abstraction,Broken Modularization,Multipath Hierarchy,Rebellious Hierarchy
Insufficient Modularization,1.0,0.47,0.14,0.12,0.42,0.0,0.12,0.02,0.02,0.06,0.0,0.05,0.0
Unutilized Abstraction,0.34,1.0,0.15,0.13,0.39,0.01,0.09,0.01,0.01,0.11,0.04,0.02,0.0
Broken Hierarchy,0.18,0.27,1.0,0.11,0.35,0.0,0.07,0.03,0.02,0.07,0.03,0.07,0.0
Feature Envy,0.24,0.38,0.19,1.0,0.17,0.0,0.14,0.03,0.01,0.1,0.01,0.04,0.0
Deficient Encapsulation,0.31,0.41,0.21,0.06,1.0,0.01,0.1,0.03,0.01,0.07,0.04,0.0,0.0
Multifaceted Abstraction,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.5,0.51,0.22,0.26,0.57,0.0,1.0,0.08,0.06,0.26,0.03,0.0,0.0
Imperative Abstraction,0.46,0.26,0.49,0.36,0.8,0.0,0.46,1.0,0.0,0.07,0.0,0.0,0.0
Cyclic Hierarchy,1.0,1.0,1.0,0.38,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Unnecessary Abstraction,0.27,0.67,0.24,0.21,0.42,0.0,0.28,0.01,0.07,1.0,0.07,0.04,0.0
Broken Modularization,0.05,0.8,0.35,0.05,0.75,0.0,0.13,0.0,0.0,0.27,1.0,0.0,0.0
Multipath Hierarchy,0.85,0.43,1.0,0.36,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.0,0.0
Rebellious Hierarchy,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
