,Deficient Encapsulation,Unutilized Abstraction,Insufficient Modularization,Rebellious Hierarchy,Feature Envy,Cyclically-dependent Modularization,Broken Hierarchy,Missing Hierarchy,Broken Modularization,Unnecessary Abstraction,Multipath Hierarchy,Unexploited Encapsulation
Deficient Encapsulation,1.0,0.63,0.16,0.02,0.53,0.06,0.2,0.05,0.09,0.1,0.0,0.01
Unutilized Abstraction,0.62,1.0,0.17,0.02,0.38,0.07,0.15,0.05,0.09,0.09,0.0,0.01
Insufficient Modularization,0.7,0.75,1.0,0.07,1.0,0.36,0.67,0.24,0.38,0.11,0.01,0.05
Rebellious Hierarchy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09,0.73
Feature Envy,0.49,0.36,0.21,0.01,1.0,0.07,0.14,0.05,0.08,0.05,0.0,0.01
Cyclically-dependent Modularization,0.57,0.75,0.81,0.16,0.81,1.0,0.38,0.38,0.38,0.43,0.01,0.12
Broken Hierarchy,1.0,0.78,0.78,0.08,0.78,0.19,1.0,0.28,0.44,0.13,0.01,0.06
Missing Hierarchy,1.0,1.0,1.0,0.29,1.0,0.68,1.0,1.0,1.0,0.45,0.03,0.21
Broken Modularization,1.0,1.0,1.0,0.18,1.0,0.43,1.0,0.63,1.0,0.28,0.02,0.13
Unnecessary Abstraction,0.88,0.78,0.21,0.14,0.43,0.37,0.21,0.21,0.21,1.0,0.01,0.1
Multipath Hierarchy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Unexploited Encapsulation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,1.0
