,Unexploited Encapsulation,Broken Hierarchy,Missing Hierarchy,Cyclically-dependent Modularization,Unutilized Abstraction,Deficient Encapsulation,Insufficient Modularization,Broken Modularization,Unnecessary Abstraction,Feature Envy,Wide Hierarchy,Cyclic Hierarchy,Imperative Abstraction,Multifaceted Abstraction,Hub-like Modularization
Unexploited Encapsulation,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.17,0.0,0.5,0.0,0.0,0.23
Broken Hierarchy,0.03,1.0,0.03,0.19,0.7,0.23,0.18,0.03,0.06,0.14,0.0,0.0,0.0,0.03,0.02
Missing Hierarchy,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.17,0.0,0.5,0.0,0.0,0.23
Cyclically-dependent Modularization,0.16,0.49,0.16,1.0,0.47,0.49,0.32,0.08,0.08,0.12,0.08,0.13,0.08,0.08,0.09
Unutilized Abstraction,0.03,0.71,0.03,0.19,1.0,0.16,0.11,0.03,0.06,0.08,0.0,0.0,0.0,0.02,0.02
Deficient Encapsulation,0.0,0.38,0.0,0.31,0.26,1.0,0.36,0.05,0.1,0.33,0.0,0.0,0.24,0.05,0.03
Insufficient Modularization,0.1,0.59,0.1,0.41,0.35,0.73,1.0,0.1,0.2,0.66,0.0,0.17,0.0,0.1,0.11
Broken Modularization,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6
Unnecessary Abstraction,0.0,1.0,0.0,0.54,1.0,1.0,1.0,0.54,1.0,1.0,0.0,0.0,0.0,0.0,0.32
Feature Envy,0.02,0.2,0.02,0.07,0.11,0.29,0.3,0.05,0.09,1.0,0.0,0.02,0.0,0.0,0.04
Wide Hierarchy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.62,0.0,0.62,1.0,0.0,0.0,1.0,0.0,0.0,0.21,0.0,1.0,0.0,0.0,0.29
Imperative Abstraction,0.0,0.0,0.0,0.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Multifaceted Abstraction,0.0,1.0,0.0,1.0,0.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hub-like Modularization,0.44,0.56,0.44,1.0,0.56,0.56,1.0,0.56,0.56,0.88,0.0,0.44,0.0,0.0,1.0
