,Unutilized Abstraction,Unnecessary Abstraction,Broken Hierarchy,Feature Envy,Insufficient Modularization,Deficient Encapsulation,Unexploited Encapsulation,Missing Hierarchy,Multifaceted Abstraction,Cyclically-dependent Modularization,Rebellious Hierarchy,Multipath Hierarchy,Imperative Abstraction
Unutilized Abstraction,1.0,0.08,0.17,0.1,0.05,0.11,0.01,0.01,0.0,0.05,0.0,0.0,0.0
Unnecessary Abstraction,1.0,1.0,0.05,0.05,0.05,0.11,0.0,0.0,0.0,0.05,0.0,0.0,0.0
Broken Hierarchy,0.28,0.01,1.0,0.28,0.34,0.19,0.02,0.02,0.0,0.12,0.0,0.01,0.0
Feature Envy,0.5,0.02,0.83,1.0,0.3,0.29,0.05,0.05,0.0,0.25,0.0,0.0,0.0
Insufficient Modularization,0.18,0.01,0.72,0.22,1.0,0.49,0.04,0.04,0.07,0.19,0.0,0.0,0.0
Deficient Encapsulation,0.44,0.04,0.48,0.25,0.59,1.0,0.05,0.05,0.09,0.27,0.0,0.02,0.03
Unexploited Encapsulation,0.43,0.0,1.0,0.91,0.87,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Missing Hierarchy,0.43,0.0,1.0,0.91,0.87,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.59,0.05,0.82,0.61,0.62,0.76,0.14,0.14,0.0,1.0,0.0,0.0,0.0
Rebellious Hierarchy,0.28,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Multipath Hierarchy,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Imperative Abstraction,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.0
