,Feature Envy,Cyclically-dependent Modularization,Insufficient Modularization,Unutilized Abstraction,Broken Hierarchy,Deficient Encapsulation,Unnecessary Abstraction,Multipath Hierarchy,Unexploited Encapsulation,Missing Hierarchy,Hub-like Modularization,Wide Hierarchy,Rebellious Hierarchy,Broken Modularization,Cyclic Hierarchy
Feature Envy,1.0,0.15,0.22,0.4,0.11,0.13,0.11,0.01,0.01,0.01,0.03,0.03,0.0,0.0,0.0
Cyclically-dependent Modularization,0.46,1.0,0.43,0.62,0.26,0.41,0.25,0.04,0.05,0.06,0.05,0.01,0.0,0.0,0.0
Insufficient Modularization,0.34,0.23,1.0,0.63,0.14,0.23,0.17,0.03,0.0,0.0,0.04,0.04,0.0,0.01,0.0
Unutilized Abstraction,0.15,0.07,0.15,1.0,0.17,0.1,0.09,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
Broken Hierarchy,0.16,0.12,0.12,0.65,1.0,0.13,0.08,0.01,0.04,0.04,0.02,0.03,0.0,0.0,0.0
Deficient Encapsulation,0.26,0.27,0.29,0.52,0.18,1.0,0.3,0.03,0.05,0.05,0.03,0.0,0.0,0.01,0.0
Unnecessary Abstraction,0.33,0.25,0.32,0.74,0.18,0.46,1.0,0.05,0.0,0.01,0.05,0.09,0.0,0.0,0.0
Multipath Hierarchy,0.66,0.88,1.0,1.0,0.38,0.94,0.91,1.0,0.0,0.03,0.09,0.16,0.0,0.09,0.03
Unexploited Encapsulation,0.17,0.58,0.0,1.0,0.83,0.83,0.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Missing Hierarchy,0.12,0.4,0.01,0.84,0.57,0.57,0.04,0.01,0.67,1.0,0.01,0.01,0.0,0.01,0.01
Hub-like Modularization,1.0,0.64,1.0,1.0,0.45,0.56,0.58,0.05,0.0,0.02,1.0,0.45,0.0,0.02,0.02
Wide Hierarchy,0.85,0.07,0.61,1.0,0.58,0.04,0.77,0.07,0.0,0.01,0.34,1.0,0.0,0.04,0.01
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Broken Modularization,0.38,0.12,1.0,0.88,0.38,1.0,0.25,0.38,0.0,0.12,0.12,0.38,0.0,1.0,0.12
Cyclic Hierarchy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
