,Unutilized Abstraction,Broken Hierarchy,Insufficient Modularization,Deficient Encapsulation,Cyclically-dependent Modularization,Imperative Abstraction,Feature Envy,Unnecessary Abstraction,Broken Modularization,Cyclic Hierarchy,Wide Hierarchy,Multifaceted Abstraction
Unutilized Abstraction,1.0,0.12,0.09,0.06,0.03,0.01,0.01,0.16,0.04,0.0,0.0,0.0
Broken Hierarchy,0.79,1.0,0.12,0.08,0.03,0.01,0.03,0.18,0.04,0.03,0.02,0.0
Insufficient Modularization,0.63,0.13,1.0,0.22,0.27,0.0,0.07,0.2,0.17,0.03,0.01,0.0
Deficient Encapsulation,0.44,0.1,0.24,1.0,0.27,0.05,0.0,0.31,0.18,0.0,0.01,0.0
Cyclically-dependent Modularization,0.4,0.06,0.55,0.5,1.0,0.01,0.1,0.4,0.33,0.0,0.0,0.0
Imperative Abstraction,0.8,0.05,0.0,0.39,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature Envy,0.47,0.2,0.41,0.0,0.29,0.0,1.0,0.12,0.03,0.08,0.06,0.0
Unnecessary Abstraction,0.68,0.12,0.13,0.18,0.12,0.0,0.01,1.0,0.16,0.0,0.0,0.0
Broken Modularization,0.57,0.07,0.34,0.33,0.32,0.0,0.01,0.49,1.0,0.0,0.0,0.0
Cyclic Hierarchy,1.0,1.0,1.0,0.0,0.07,0.0,0.5,0.0,0.0,1.0,0.36,0.0
Wide Hierarchy,1.0,1.0,0.62,0.38,0.12,0.0,0.62,0.0,0.0,0.62,1.0,0.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
