,Unutilized Abstraction,Insufficient Modularization,Wide Hierarchy,Rebellious Hierarchy,Broken Hierarchy,Cyclically-dependent Modularization,Deficient Encapsulation,Broken Modularization,Unnecessary Abstraction,Feature Envy,Hub-like Modularization,Cyclic Hierarchy,Multipath Hierarchy
Unutilized Abstraction,1.0,0.34,0.05,0.05,0.45,0.1,0.16,0.01,0.03,0.07,0.01,0.01,0.0
Insufficient Modularization,0.55,1.0,0.06,0.08,0.84,0.14,0.14,0.04,0.05,0.11,0.01,0.01,0.0
Wide Hierarchy,1.0,0.71,1.0,0.29,0.86,0.57,0.43,0.14,0.29,0.43,0.14,0.14,0.0
Rebellious Hierarchy,1.0,1.0,0.29,1.0,0.29,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0
Broken Hierarchy,0.43,0.5,0.04,0.01,1.0,0.09,0.09,0.02,0.05,0.05,0.01,0.01,0.01
Cyclically-dependent Modularization,0.77,0.69,0.23,0.06,0.69,1.0,0.66,0.11,0.2,0.34,0.06,0.06,0.06
Deficient Encapsulation,0.66,0.36,0.09,0.0,0.39,0.36,1.0,0.03,0.11,0.19,0.03,0.03,0.03
Broken Modularization,0.67,1.0,0.33,0.0,1.0,0.67,0.33,1.0,0.67,0.33,0.33,0.33,0.0
Unnecessary Abstraction,0.53,0.6,0.27,0.0,0.87,0.47,0.47,0.27,1.0,0.27,0.13,0.13,0.0
Feature Envy,0.95,0.95,0.32,0.11,0.79,0.63,0.63,0.11,0.21,1.0,0.11,0.11,0.0
Hub-like Modularization,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Cyclic Hierarchy,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Multipath Hierarchy,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
