,Unutilized Abstraction,Cyclic Hierarchy,Cyclically-dependent Modularization,Insufficient Modularization,Unnecessary Abstraction,Feature Envy,Broken Hierarchy,Deficient Encapsulation,Wide Hierarchy,Unexploited Encapsulation,Missing Hierarchy,Multifaceted Abstraction
Unutilized Abstraction,1.0,0.01,0.02,0.06,0.04,0.02,0.0,0.15,0.01,0.01,0.01,0.0
Cyclic Hierarchy,1.0,1.0,1.0,1.0,1.0,0.12,0.0,1.0,0.66,0.62,0.62,0.0
Cyclically-dependent Modularization,0.88,0.48,1.0,0.74,0.6,0.17,0.03,0.94,0.31,0.3,0.3,0.0
Insufficient Modularization,0.91,0.17,0.26,1.0,0.3,0.25,0.0,0.79,0.11,0.11,0.11,0.05
Unnecessary Abstraction,0.94,0.3,0.37,0.53,1.0,0.05,0.0,1.0,0.19,0.18,0.18,0.0
Feature Envy,0.45,0.03,0.1,0.41,0.05,1.0,0.0,0.31,0.01,0.01,0.01,0.08
Broken Hierarchy,0.64,0.0,0.36,0.0,0.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0
Deficient Encapsulation,0.69,0.05,0.11,0.25,0.18,0.06,0.0,1.0,0.04,0.03,0.03,0.02
Wide Hierarchy,1.0,1.0,1.0,1.0,1.0,0.05,0.0,1.0,1.0,0.95,0.95,0.0
Unexploited Encapsulation,1.0,1.0,1.0,1.0,1.0,0.06,0.0,1.0,1.0,1.0,1.0,0.0
Missing Hierarchy,1.0,1.0,1.0,1.0,1.0,0.06,0.0,1.0,1.0,1.0,1.0,0.0
Multifaceted Abstraction,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
