,Unutilized Abstraction,Deficient Encapsulation,Feature Envy,Insufficient Modularization,Cyclically-dependent Modularization,Broken Hierarchy,Rebellious Hierarchy,Cyclic Hierarchy,Unnecessary Abstraction,Multifaceted Abstraction,Imperative Abstraction,Broken Modularization
Unutilized Abstraction,1.0,0.23,0.14,0.24,0.18,0.1,0.01,0.03,0.06,0.01,0.01,0.01
Deficient Encapsulation,0.5,1.0,0.4,0.43,0.42,0.18,0.02,0.06,0.12,0.07,0.02,0.04
Feature Envy,0.53,0.7,1.0,0.54,0.42,0.2,0.03,0.08,0.05,0.0,0.0,0.0
Insufficient Modularization,0.83,0.68,0.48,1.0,0.48,0.28,0.02,0.09,0.06,0.03,0.03,0.0
Cyclically-dependent Modularization,0.82,0.84,0.48,0.61,1.0,0.3,0.03,0.12,0.12,0.09,0.04,0.03
Broken Hierarchy,0.91,0.75,0.48,0.76,0.64,1.0,0.06,0.18,0.06,0.05,0.08,0.0
Rebellious Hierarchy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,1.0,1.0,0.74,1.0,1.0,0.74,0.0,1.0,0.0,0.21,0.04,0.0
Unnecessary Abstraction,0.71,0.57,0.16,0.2,0.3,0.08,0.0,0.0,1.0,0.01,0.08,0.15
Multifaceted Abstraction,0.37,0.96,0.01,0.22,0.57,0.16,0.0,0.16,0.02,1.0,0.03,0.0
Imperative Abstraction,1.0,1.0,0.11,1.0,1.0,1.0,0.0,0.14,0.86,0.14,1.0,0.0
Broken Modularization,0.37,1.0,0.0,0.0,0.37,0.0,0.0,0.0,0.73,0.0,0.0,1.0
