,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.09,0.09,0.01,0.06,0.0,0.0,0.0
Unutilized Abstraction,0.1,0.09,0.01,0.04,0.02,0.01,0.0
Feature Envy,0.51,0.53,0.05,0.24,0.08,0.08,0.01
Broken Hierarchy,0.5,0.44,0.04,0.24,0.09,0.05,0.0
Broken Modularization,0.77,0.77,0.13,0.32,0.18,0.13,0.0
Insufficient Modularization,0.38,0.38,0.0,0.24,0.12,0.04,0.0
Wide Hierarchy,1.0,1.0,0.0,0.03,0.0,0.0,0.0
Unnecessary Abstraction,0.22,0.2,0.01,0.13,0.02,0.01,0.02
Multifaceted Abstraction,0.07,0.07,0.0,0.07,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.02,0.02,0.0,0.02,0.02,0.02,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
