,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.26,0.05,0.19,0.05,0.03,0.43,0.36
Unutilized Abstraction,0.1,0.0,0.05,0.0,0.0,0.62,0.51
Feature Envy,0.17,0.03,0.13,0.03,0.03,0.43,0.49
Broken Hierarchy,0.01,0.01,0.01,0.01,0.01,0.49,0.06
Broken Modularization,0.14,0.0,0.14,0.0,0.0,0.77,0.5
Insufficient Modularization,0.62,0.0,0.62,0.0,0.0,1.0,0.67
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,0.48,0.0
Unnecessary Abstraction,0.26,0.06,0.07,0.06,0.06,0.96,0.38
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,1.0,0.65
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
