,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.14,0.16,0.05,0.03,0.03,0.01,0.0
Unutilized Abstraction,0.08,0.08,0.02,0.02,0.02,0.03,0.01
Feature Envy,0.23,0.28,0.04,0.05,0.01,0.03,0.01
Broken Hierarchy,0.15,0.19,0.08,0.08,0.03,0.04,0.0
Broken Modularization,0.11,0.11,0.05,0.02,0.01,0.01,0.01
Insufficient Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wide Hierarchy,0.26,0.26,0.18,0.09,0.0,0.04,0.01
Unnecessary Abstraction,0.76,0.76,0.59,0.31,0.0,0.0,0.04
Multifaceted Abstraction,0.12,0.12,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.19,0.14,0.07,0.05,0.06,0.15,0.0
Cyclic Hierarchy,0.24,0.24,0.0,0.0,0.0,0.0,0.06
Rebellious Hierarchy,1.0,1.0,0.0,0.39,0.0,0.15,0.0
