,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.75,0.69,0.09,0.33,0.0,0.8,0.55
Unutilized Abstraction,0.59,0.63,0.2,0.46,0.03,0.66,0.47
Feature Envy,0.93,0.93,0.93,0.93,0.0,1.0,0.93
Broken Hierarchy,0.45,0.44,0.09,0.26,0.01,0.54,0.25
Broken Modularization,0.56,0.63,0.29,0.56,0.0,0.85,0.49
Insufficient Modularization,0.41,0.34,0.08,0.31,0.02,0.61,0.3
Wide Hierarchy,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Unnecessary Abstraction,0.81,0.81,0.32,0.81,0.0,1.0,0.82
Multifaceted Abstraction,0.87,0.87,0.0,0.0,0.0,0.93,0.87
Cyclically-dependent Modularization,0.47,0.47,0.0,0.0,0.0,1.0,1.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
