,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.06,0.06,0.02,0.02,0.9,0.68,0.26
Unutilized Abstraction,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Feature Envy,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Broken Hierarchy,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Broken Modularization,0.02,0.01,0.0,0.0,0.63,0.35,0.17
Insufficient Modularization,0.0,0.0,0.0,0.0,1.0,0.75,0.75
Wide Hierarchy,0.0,0.0,0.0,0.0,0.2,0.14,0.14
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.83,0.29,0.14
Multifaceted Abstraction,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,1.0,1.0,1.0
