,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.18,0.26,0.01,0.02,0.01,0.01,0.01
Unutilized Abstraction,0.09,0.18,0.02,0.03,0.0,0.01,0.01
Feature Envy,0.05,0.08,0.01,0.01,0.0,0.0,0.01
Broken Hierarchy,0.07,0.11,0.01,0.01,0.0,0.01,0.01
Broken Modularization,0.16,0.3,0.05,0.0,0.0,0.04,0.0
Insufficient Modularization,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Wide Hierarchy,0.01,0.01,0.0,0.0,0.0,0.0,0.0
Unnecessary Abstraction,0.13,0.17,0.0,0.06,0.0,0.02,0.02
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.15,0.15,0.0,0.0,0.0,0.0
