,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.1,0.1,0.0,0.03,0.71,0.03,0.19
Unutilized Abstraction,0.26,0.34,0.05,0.0,0.38,0.0,0.31
Feature Envy,0.41,0.51,0.0,0.1,0.59,0.1,0.41
Broken Hierarchy,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Broken Modularization,1.0,1.0,0.0,0.0,1.0,0.0,0.54
Insufficient Modularization,0.14,0.19,0.0,0.02,0.2,0.02,0.07
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Unnecessary Abstraction,0.0,0.0,0.0,0.62,0.0,0.62,1.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.22
Cyclically-dependent Modularization,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Cyclic Hierarchy,0.56,0.56,0.0,0.44,0.56,0.44,1.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
