,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.06,0.07,0.44,0.04,0.48,0.25,0.59
Unutilized Abstraction,0.43,0.43,0.43,0.0,1.0,0.91,0.87
Feature Envy,0.43,0.43,0.43,0.0,1.0,0.91,0.87
Broken Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Broken Modularization,0.22,0.27,0.59,0.05,0.82,0.61,0.62
Insufficient Modularization,0.0,0.0,0.28,0.0,0.28,0.0,0.0
Wide Hierarchy,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
