,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.02,0.19,0.17,0.06,0.12,0.07,0.0
Unutilized Abstraction,0.03,0.47,0.43,0.2,0.16,0.13,0.0
Feature Envy,0.0,0.34,0.35,0.11,0.11,0.06,0.0
Broken Hierarchy,0.01,0.13,0.12,0.03,0.04,0.02,0.0
Broken Modularization,0.04,0.18,0.18,0.06,0.12,0.12,0.0
Insufficient Modularization,0.05,0.44,0.41,0.16,0.13,0.12,0.0
Wide Hierarchy,0.01,0.4,0.38,0.06,0.15,0.05,0.0
Unnecessary Abstraction,0.0,0.84,0.84,0.38,0.06,0.06,0.0
Multifaceted Abstraction,0.1,0.77,0.7,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.07,0.52,0.47,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.98,0.98,0.0,0.67,0.93,0.0
Rebellious Hierarchy,0.0,0.81,0.81,0.0,0.81,0.28,0.0
