,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.07,0.06,0.01,0.02,0.02,0.0,0.0
Unutilized Abstraction,1.0,1.0,1.0,0.91,0.31,0.0,0.0
Feature Envy,1.0,0.79,0.58,0.56,0.34,0.04,0.04
Broken Hierarchy,0.93,0.82,0.19,0.29,0.34,0.0,0.0
Broken Modularization,0.53,0.46,0.33,0.29,0.17,0.0,0.0
Insufficient Modularization,0.58,0.5,0.05,0.11,0.3,0.0,0.0
Wide Hierarchy,1.0,1.0,0.82,0.36,0.18,0.36,0.36
Unnecessary Abstraction,0.37,0.28,0.06,0.12,0.16,0.0,0.0
Multifaceted Abstraction,1.0,1.0,1.0,1.0,0.34,0.0,0.0
Cyclically-dependent Modularization,1.0,1.0,1.0,1.0,0.36,0.0,0.0
Cyclic Hierarchy,1.0,1.0,1.0,1.0,0.36,0.0,0.0
Rebellious Hierarchy,1.0,0.0,0.0,0.0,1.0,0.0,0.0
