,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.07,0.07,0.07,0.04,0.04,0.0,0.15
Unutilized Abstraction,0.21,0.04,0.22,0.01,0.02,0.02,0.09
Feature Envy,0.24,0.09,0.26,0.0,0.03,0.03,0.12
Broken Hierarchy,0.17,0.04,0.25,0.0,0.0,0.08,0.08
Broken Modularization,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Insufficient Modularization,0.13,0.02,0.16,0.11,0.0,0.01,0.02
Wide Hierarchy,0.5,0.12,0.62,0.0,0.06,0.06,0.38
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multifaceted Abstraction,1.0,0.0,1.0,0.0,0.0,0.5,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
