,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.07,0.07,0.01,0.02,0.01,0.0,0.0
Unutilized Abstraction,0.04,0.03,0.01,0.02,0.0,0.0,0.0
Feature Envy,0.08,0.08,0.02,0.02,0.03,0.0,0.0
Broken Hierarchy,0.06,0.07,0.01,0.02,0.01,0.0,0.0
Broken Modularization,0.22,0.23,0.0,0.07,0.01,0.0,0.0
Insufficient Modularization,0.34,0.37,0.05,0.05,0.03,0.0,0.0
Wide Hierarchy,0.18,0.19,0.02,0.03,0.07,0.02,0.0
Unnecessary Abstraction,0.18,0.21,0.05,0.03,0.08,0.03,0.0
Multifaceted Abstraction,0.05,0.05,0.05,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.31,0.31,0.0,0.0,0.0,0.31,0.0
Cyclic Hierarchy,0.25,0.45,0.0,0.2,0.2,0.25,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
