,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.21,0.21,0.13,0.0,0.0,0.21,0.0
Unutilized Abstraction,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Feature Envy,0.04,0.04,0.0,0.0,0.0,0.05,0.0
Broken Hierarchy,0.39,0.39,0.35,0.0,0.0,0.36,0.01
Broken Modularization,0.27,0.27,0.0,0.0,0.0,0.42,0.01
Insufficient Modularization,0.63,0.63,0.0,0.0,0.0,0.0,0.0
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,0.15,0.0
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.22,0.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
