,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.28,0.28,0.22,0.0,0.03,0.0,0.0
Unutilized Abstraction,0.02,0.02,0.02,0.0,0.0,0.0,0.0
Feature Envy,0.12,0.13,0.13,0.02,0.01,0.02,0.0
Broken Hierarchy,0.16,0.21,0.17,0.0,0.0,0.0,0.01
Broken Modularization,0.71,0.71,0.71,0.43,0.29,0.43,0.0
Insufficient Modularization,0.02,0.03,0.02,0.0,0.0,0.0,0.0
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unnecessary Abstraction,0.2,0.21,0.14,0.01,0.0,0.01,0.01
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.89,0.89,0.0,0.0,0.0,0.0,0.0
