,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.31,0.24,0.05,0.05,0.04,0.01,0.12
Unutilized Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.15
Feature Envy,0.05,0.06,0.02,0.02,0.0,0.0,0.32
Broken Hierarchy,0.35,0.2,0.0,0.1,0.01,0.0,0.01
Broken Modularization,0.48,0.33,0.08,0.12,0.04,0.01,0.02
Insufficient Modularization,0.33,0.33,0.0,0.0,0.0,0.0,0.0
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.11
Unnecessary Abstraction,0.13,0.13,0.0,0.13,0.0,0.0,0.0
Multifaceted Abstraction,1.0,1.0,0.29,1.0,0.08,0.29,0.0
Cyclically-dependent Modularization,0.43,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
