,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.0,0.0,0.0,0.0,0.51,0.0,0.0
Unutilized Abstraction,0.06,0.14,0.0,0.0,0.05,0.0,0.12
Feature Envy,0.2,0.2,0.0,0.0,0.29,0.0,0.34
Broken Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Broken Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Insufficient Modularization,0.0,0.0,0.0,0.0,0.04,0.0,0.02
Wide Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.56,0.56,0.0,0.0,0.0,0.0,0.44
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
