,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.02,0.02,0.01,0.0,0.21,0.02,0.37
Unutilized Abstraction,0.09,0.09,0.39,0.0,0.0,0.52,0.61
Feature Envy,0.09,0.09,0.39,0.0,0.0,0.52,0.61
Broken Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Broken Modularization,0.05,0.05,0.05,0.0,0.15,0.07,0.45
Insufficient Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wide Hierarchy,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
