,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.0,0.0,0.68,0.05,0.0,0.11,0.0
Unutilized Abstraction,0.0,0.0,0.0,0.36,0.33,0.29,0.0
Feature Envy,0.0,0.0,0.0,0.65,0.35,0.0,0.0
Broken Hierarchy,0.0,0.5,0.0,1.0,0.5,0.5,0.0
Broken Modularization,0.0,0.0,0.05,0.63,0.0,0.0,0.0
Insufficient Modularization,0.0,0.0,0.0,0.37,0.0,0.0,0.0
Wide Hierarchy,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
