,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.11,0.13,0.01,0.03,0.0,0.0,0.09
Unutilized Abstraction,0.19,0.19,0.0,0.03,0.0,0.01,0.28
Feature Envy,0.47,0.0,0.0,0.0,0.0,0.0,0.0
Broken Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.21
Broken Modularization,0.35,0.32,0.04,0.0,0.0,0.0,0.02
Insufficient Modularization,0.27,0.27,0.03,0.0,0.0,0.0,0.02
Wide Hierarchy,0.1,0.1,0.0,0.0,0.0,0.0,0.44
Unnecessary Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.78
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebellious Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
