,ar1,et1,it1,gf1,se1,mg1,ro1
Deficient Encapsulation,0.24,0.18,0.02,0.01,0.0,0.0,0.0
Unutilized Abstraction,0.03,0.03,0.0,0.0,0.0,0.0,0.0
Feature Envy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Broken Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Broken Modularization,0.3,0.33,0.09,0.01,0.02,0.0,0.02
Insufficient Modularization,0.19,0.2,0.04,0.0,0.0,0.0,0.02
Wide Hierarchy,0.42,0.49,0.08,0.01,0.07,0.0,0.02
Unnecessary Abstraction,0.03,0.03,0.03,0.0,0.0,0.0,0.03
Multifaceted Abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclically-dependent Modularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic Hierarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
