NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ExampleUnitTest]; [ItemDragAndSwipeUseActivity]; [HeaderAndFooterUseActivity]; [SectionUseActivity]; [EmptyViewUseActivity]; [AnimationUseActivity]; [MultipleItemUseActivity]; [HomeActivity]; [PullToRefreshUseActivity]. LCC (Lack of Component Cohesion) = 1.0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [QuickAdapter]; [MultipleItemQuickAdapter]; [HomeAdapter]; [DefAdpater; ViewHolder]; [ItemDragAdapter]; [SectionAdapter]; [MultipleItemAdapter; TextViewHolder]. LCC (Lack of Component Cohesion) = 0.78
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.library.adapter.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseMultiItemQuickAdapter; BaseQuickAdapter; OnRecyclerViewItemClickListener; OnRecyclerViewItemLongClickListener; OnRecyclerViewItemChildClickListener; RequestLoadMoreListener; BaseViewHolder; BaseItemDraggableAdapter; BaseSectionQuickAdapter]; [OnItemChildClickListener]. LCC (Lack of Component Cohesion) = 0.2
v1.9.0,88699e83ed6b78b665c4638b7231d03665a70cea,Wed Jul 13 09:40:47 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ExampleUnitTest]; [ItemDragAndSwipeUseActivity]; [HeaderAndFooterUseActivity]; [SectionUseActivity]; [EmptyViewUseActivity]; [AnimationUseActivity]; [MultipleItemUseActivity]; [HomeActivity]; [PullToRefreshUseActivity]. LCC (Lack of Component Cohesion) = 1.0
v1.9.0,88699e83ed6b78b665c4638b7231d03665a70cea,Wed Jul 13 09:40:47 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [QuickAdapter]; [MultipleItemQuickAdapter]; [HomeAdapter]; [DefAdpater; ViewHolder]; [ItemDragAdapter]; [SectionAdapter]; [MultipleItemAdapter; TextViewHolder]. LCC (Lack of Component Cohesion) = 0.78
v1.9.0,88699e83ed6b78b665c4638b7231d03665a70cea,Wed Jul 13 09:40:47 CEST 2016,baserecyclerviewadapterhelper,com.chad.library.adapter.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseMultiItemQuickAdapter; BaseQuickAdapter; OnRecyclerViewItemClickListener; OnRecyclerViewItemLongClickListener; OnRecyclerViewItemChildClickListener; RequestLoadMoreListener; BaseViewHolder; BaseItemDraggableAdapter; BaseSectionQuickAdapter]; [OnItemChildClickListener]. LCC (Lack of Component Cohesion) = 0.2
v1.9.1,757015a8fb43d3acf307f5e09fc15913380f0496,Thu Jul 14 10:34:41 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ExampleUnitTest]; [ItemDragAndSwipeUseActivity]; [HeaderAndFooterUseActivity]; [SectionUseActivity]; [EmptyViewUseActivity]; [AnimationUseActivity]; [MultipleItemUseActivity]; [HomeActivity]; [PullToRefreshUseActivity]. LCC (Lack of Component Cohesion) = 1.0
v1.9.1,757015a8fb43d3acf307f5e09fc15913380f0496,Thu Jul 14 10:34:41 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.adapter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [QuickAdapter]; [MultipleItemQuickAdapter]; [HomeAdapter]; [DefAdpater; ViewHolder]; [ItemDragAdapter]; [SectionAdapter]; [MultipleItemAdapter; TextViewHolder]. LCC (Lack of Component Cohesion) = 0.78
v1.9.1,757015a8fb43d3acf307f5e09fc15913380f0496,Thu Jul 14 10:34:41 CEST 2016,baserecyclerviewadapterhelper,com.chad.library.adapter.base,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseMultiItemQuickAdapter; BaseQuickAdapter; OnRecyclerViewItemClickListener; OnRecyclerViewItemLongClickListener; OnRecyclerViewItemChildClickListener; RequestLoadMoreListener; BaseViewHolder; BaseItemDraggableAdapter; BaseSectionQuickAdapter]; [OnItemChildClickListener]. LCC (Lack of Component Cohesion) = 0.2
v1.9.3,166e70f614e0ed57c4f542ca272df86ef8878674,Sat Jul 16 10:35:20 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ApplicationTest]; [ExampleUnitTest]; [ItemDragAndSwipeUseActivity]; [HeaderAndFooterUseActivity]; [SectionUseActivity]; [EmptyViewUseActivity]; [AnimationUseActivity]; [MultipleItemUseActivity]; [HomeActivity]; [PullToRefreshUseActivity]. LCC (Lack of Component Cohesion) = 1.0
