NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ApplicationTest,ApplicationTest,3,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ApplicationTest,test,2,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onCreate,63,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemDragStart,6,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemDragMoving,3,1,4
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemDragEnd,6,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemSwipeStart,6,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,clearView,6,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemSwiped,3,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemSwipeMoving,4,1,5
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,generateData,7,2,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,getView,6,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HeaderAndFooterUseActivity,onCreate,10,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HeaderAndFooterUseActivity,getView,12,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HeaderAndFooterUseActivity,onClick,3,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HeaderAndFooterUseActivity,initAdapter,11,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HeaderAndFooterUseActivity,onItemClick,3,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,SectionUseActivity,onCreate,16,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,SectionUseActivity,onItemChildClick,3,1,3
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,SectionUseActivity,onItemClick,5,2,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,EmptyViewUseActivity,onCreate,8,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,EmptyViewUseActivity,initAdapter,7,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,onCreate,9,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initAdapter,21,3,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,onItemChildClick,13,3,3
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initMenu,50,9,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,onItemSelected,25,7,4
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,onItemSelected,13,3,4
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,MultipleItemUseActivity,onCreate,8,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HomeActivity,onCreate,24,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HomeActivity,onItemClick,4,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HomeActivity,onItemLongClick,4,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HomeActivity,initData,10,2,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,onCreate,11,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,addHeadView,14,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,onClick,5,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,onLoadMoreRequested,21,2,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,run,16,2,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,run,4,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,onRefresh,11,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,run,6,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,initAdapter,15,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,onItemClick,3,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.decoration,GridItemDecoration,GridItemDecoration,3,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.decoration,GridItemDecoration,GridItemDecoration,3,1,2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.decoration,GridItemDecoration,GridItemDecoration,4,1,3
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.decoration,GridItemDecoration,getItemOffsets,14,5,4
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.decoration,GridItemDecoration,onDrawOver,22,3,3
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,MultipleItem,getContent,3,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,MultipleItem,setContent,3,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,isRetweet,3,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,setRetweet,3,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,getText,3,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,setText,3,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,getUserName,3,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,setUserName,3,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,getUserAvatar,3,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,setUserAvatar,3,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,getCreatedAt,3,1,0
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,setCreatedAt,3,1,1
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper.entity,Status,toString,3,1,0
