NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ApplicationTest,0,0,2,2,10,2,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/androidTest/java/com/chad/baserecyclerviewadapterhelper/ApplicationTest.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ExampleUnitTest,0,0,0,0,5,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/test/java/com/chad/baserecyclerviewadapterhelper/ExampleUnitTest.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,6,0,10,7,87,11,0,0,0.2,1,6,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/main/java/com/chad/baserecyclerviewadapterhelper/ItemDragAndSwipeUseActivity.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HeaderAndFooterUseActivity,3,0,5,2,41,5,0,0,0.6,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/main/java/com/chad/baserecyclerviewadapterhelper/HeaderAndFooterUseActivity.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,SectionUseActivity,2,0,3,2,28,4,0,0,0.6666666666666666,1,5,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/main/java/com/chad/baserecyclerviewadapterhelper/SectionUseActivity.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,EmptyViewUseActivity,2,0,2,0,19,2,0,0,0.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/main/java/com/chad/baserecyclerviewadapterhelper/EmptyViewUseActivity.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,2,0,6,3,87,26,0,0,0.3333333333333333,1,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/main/java/com/chad/baserecyclerviewadapterhelper/AnimationUseActivity.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,MultipleItemUseActivity,1,0,1,0,14,1,0,0,0.0,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/main/java/com/chad/baserecyclerviewadapterhelper/MultipleItemUseActivity.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HomeActivity,5,0,4,2,44,5,0,0,0.5,1,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/main/java/com/chad/baserecyclerviewadapterhelper/HomeActivity.java
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,PullToRefreshUseActivity,7,0,10,7,84,12,0,0,0.2,1,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-8406616698210350062/baserecyclerviewadapterhelper/app/src/main/java/com/chad/baserecyclerviewadapterhelper/PullToRefreshUseActivity.java
