NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,com.example.butterknife,SimpleActivity,5,0,2,1,23,2,0,0,1.0,1,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleActivity.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,com.example.butterknife,SimpleAdapter,5,0,6,5,40,7,0,0,0.3333333333333333,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,com.example.butterknife,ViewHolder,3,0,1,0,8,1,0,0,0.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,butterknife,ViewsTest,0,0,1,1,8,1,0,0,-1.0,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/test/java/butterknife/ViewsTest.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,butterknife,Example,0,0,0,0,2,0,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/test/java/butterknife/ViewsTest.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,butterknife,ButterKnifeTestRunner,0,0,2,2,8,2,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/test/java/butterknife/ButterKnifeTestRunner.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,butterknife,Views,8,0,18,12,200,32,0,0,0.6666666666666666,5,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,butterknife,UnableToInjectException,0,0,1,0,5,1,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,butterknife,InjectViewProcessor,6,0,6,3,102,18,0,0,0.6666666666666666,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,butterknife,InjectionPoint,2,0,2,1,11,2,0,0,0.0,2,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,test,Test,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-cannot-be-private/src/main/java/test/Test.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,test,Test,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-not-extending-view/src/main/java/test/Test.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,test,Test,3,1,0,0,5,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-visibility/src/main/java/test/Test.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,test,Test,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-must-be-on-class/src/main/java/test/Test.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,test,Test,1,0,0,0,5,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/class-not-private/src/main/java/test/Test.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,test,Inner,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/class-not-private/src/main/java/test/Test.java
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,test,Test,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-cannot-be-static/src/main/java/test/Test.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,com.example.butterknife,SimpleActivity,5,0,2,1,23,2,0,0,1.0,1,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleActivity.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,com.example.butterknife,SimpleAdapter,5,0,6,5,40,7,0,0,0.3333333333333333,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,com.example.butterknife,ViewHolder,3,0,1,0,8,1,0,0,0.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,test,Test,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-cannot-be-private/src/main/java/test/Test.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,test,Test,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-not-extending-view/src/main/java/test/Test.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,test,Test,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-must-be-on-class/src/main/java/test/Test.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,test,Test,1,0,0,0,3,0,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/it/field-cannot-be-static/src/main/java/test/Test.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,butterknife,Views,7,0,18,12,187,30,0,0,0.6666666666666666,4,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,butterknife,UnableToInjectException,0,0,1,0,5,1,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,butterknife,InjectViewProcessor,6,0,6,3,98,17,0,0,0.6666666666666666,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.2.1,5d2be22f5547709ccea2cb2843d1fc4bf1dde5a4,Tue Mar 12 07:12:03 CET 2013,butterknife,butterknife,InjectionPoint,2,0,2,1,11,2,0,0,0.0,2,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.0.0,49ff3819f60cb11fe1505b13ec2dff6dae71022a,Tue Mar 05 09:56:05 CET 2013,butterknife,com.example.butterknife,SimpleActivity,4,0,2,1,21,2,0,0,1.0,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleActivity.java
butterknife-parent-1.0.0,49ff3819f60cb11fe1505b13ec2dff6dae71022a,Tue Mar 05 09:56:05 CET 2013,butterknife,butterknife,Views,6,0,10,6,122,20,0,0,0.8,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.0.0,49ff3819f60cb11fe1505b13ec2dff6dae71022a,Tue Mar 05 09:56:05 CET 2013,butterknife,butterknife,AnnotationProcessor,6,0,6,3,90,16,0,0,0.6666666666666666,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.0.0,49ff3819f60cb11fe1505b13ec2dff6dae71022a,Tue Mar 05 09:56:05 CET 2013,butterknife,butterknife,InjectionPoint,3,0,2,1,13,2,0,0,0.0,2,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.1.1,38efe6934373b38e30ebf7f0776fdf5d8b8652e9,Wed Mar 06 23:15:17 CET 2013,butterknife,com.example.butterknife,SimpleActivity,5,0,2,1,23,2,0,0,1.0,1,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleActivity.java
butterknife-parent-1.1.1,38efe6934373b38e30ebf7f0776fdf5d8b8652e9,Wed Mar 06 23:15:17 CET 2013,butterknife,com.example.butterknife,SimpleAdapter,5,0,6,5,40,7,0,0,0.3333333333333333,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.1.1,38efe6934373b38e30ebf7f0776fdf5d8b8652e9,Wed Mar 06 23:15:17 CET 2013,butterknife,com.example.butterknife,ViewHolder,3,0,1,0,8,1,0,0,0.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.1.1,38efe6934373b38e30ebf7f0776fdf5d8b8652e9,Wed Mar 06 23:15:17 CET 2013,butterknife,butterknife,Views,9,0,14,7,173,29,0,0,0.6428571428571429,4,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.1.1,38efe6934373b38e30ebf7f0776fdf5d8b8652e9,Wed Mar 06 23:15:17 CET 2013,butterknife,butterknife,UnableToInjectException,0,0,1,0,5,1,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.1.1,38efe6934373b38e30ebf7f0776fdf5d8b8652e9,Wed Mar 06 23:15:17 CET 2013,butterknife,butterknife,AnnotationProcessor,8,0,7,3,116,21,0,0,0.5714285714285714,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.1.1,38efe6934373b38e30ebf7f0776fdf5d8b8652e9,Wed Mar 06 23:15:17 CET 2013,butterknife,butterknife,InjectionPoint,3,0,2,1,13,2,0,0,0.0,2,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.2.0,538db130bd69ab9fde4db98ea6a58e7460092ee1,Thu Mar 07 09:01:47 CET 2013,butterknife,com.example.butterknife,SimpleActivity,5,0,2,1,23,2,0,0,1.0,1,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleActivity.java
butterknife-parent-1.2.0,538db130bd69ab9fde4db98ea6a58e7460092ee1,Thu Mar 07 09:01:47 CET 2013,butterknife,com.example.butterknife,SimpleAdapter,5,0,6,5,40,7,0,0,0.3333333333333333,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.2.0,538db130bd69ab9fde4db98ea6a58e7460092ee1,Thu Mar 07 09:01:47 CET 2013,butterknife,com.example.butterknife,ViewHolder,3,0,1,0,8,1,0,0,0.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.2.0,538db130bd69ab9fde4db98ea6a58e7460092ee1,Thu Mar 07 09:01:47 CET 2013,butterknife,butterknife,Views,6,0,18,12,186,30,0,0,0.6666666666666666,4,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.2.0,538db130bd69ab9fde4db98ea6a58e7460092ee1,Thu Mar 07 09:01:47 CET 2013,butterknife,butterknife,UnableToInjectException,0,0,1,0,5,1,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.2.0,538db130bd69ab9fde4db98ea6a58e7460092ee1,Thu Mar 07 09:01:47 CET 2013,butterknife,butterknife,InjectViewProcessor,5,0,6,3,97,17,0,0,0.6666666666666666,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.2.0,538db130bd69ab9fde4db98ea6a58e7460092ee1,Thu Mar 07 09:01:47 CET 2013,butterknife,butterknife,InjectionPoint,2,0,2,1,11,2,0,0,0.0,2,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/main/java/butterknife/Views.java
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,com.example.butterknife,SimpleAdapterTest,0,0,1,1,10,1,0,0,-1.0,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/test/java/com/example/butterknife/SimpleAdapterTest.java
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,com.example.butterknife,SimpleActivityTest,0,0,1,1,11,1,0,0,-1.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/test/java/com/example/butterknife/SimpleActivityTest.java
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,com.example.butterknife,SimpleActivity,5,0,2,1,23,2,0,0,1.0,3,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleActivity.java
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,com.example.butterknife,SimpleAdapter,5,0,6,5,40,7,0,0,0.3333333333333333,1,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,com.example.butterknife,ViewHolder,3,0,1,0,8,1,0,0,0.0,2,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife-sample/src/main/java/com/example/butterknife/SimpleAdapter.java
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,butterknife,ViewsTest,0,0,1,1,8,1,0,0,-1.0,0,2,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/test/java/butterknife/ViewsTest.java
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,butterknife,Example,0,0,0,0,2,0,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-9146004224847531287/butterknife/butterknife/src/test/java/butterknife/ViewsTest.java
