NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: AutoSizeConfig; DefaultAutoAdaptStrategy; AutoSize
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,DisplayMetricsInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: density; densityDpi; scaledDensity; CREATOR
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize.external,ExternalAdaptInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: isBaseOnWidth; sizeInDp; CREATOR
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize.internal,CancelAdapt,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize.demo,BaseApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize.demo,CustomAdaptActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize.demo,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.0.6,5e02e64adc8fbbefe6e3f7c94550a48a4d19b08a,Wed Nov 07 10:35:41 CET 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DefaultAutoAdaptStrategy; AutoSizeConfig; ActivityLifecycleCallbacksImpl; WrapperAutoAdaptStrategy; AutoSize
v1.0.6,5e02e64adc8fbbefe6e3f7c94550a48a4d19b08a,Wed Nov 07 10:35:41 CET 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 34 public methods
v1.0.6,5e02e64adc8fbbefe6e3f7c94550a48a4d19b08a,Wed Nov 07 10:35:41 CET 2018,AndroidAutoSize,me.jessyan.autosize,DisplayMetricsInfo,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: density; densityDpi; scaledDensity; xdpi; CREATOR
v1.0.6,5e02e64adc8fbbefe6e3f7c94550a48a4d19b08a,Wed Nov 07 10:35:41 CET 2018,AndroidAutoSize,me.jessyan.autosize,InitProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
