NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,ActivityLifecycleCallbacksImpl,3,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,onActivityCreated,5,2,2
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,onActivityStarted,2,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,onActivityResumed,2,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,onActivityPaused,2,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,onActivityStopped,2,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,onActivitySaveInstanceState,2,1,2
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,onActivityDestroyed,2,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,ActivityLifecycleCallbacksImpl,setAutoAdaptStrategy,3,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoAdaptStrategy,applyAdapt,0,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,AutoSize,3,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,autoConvertDensityOfGlobal,8,2,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,autoConvertDensityOfCustomAdapt,13,3,2
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,autoConvertDensityOfExternalAdaptInfo,13,3,2
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,autoConvertDensityBaseOnWidth,3,1,2
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,autoConvertDensityBaseOnHeight,3,1,2
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,autoConvertDensity,26,3,3
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,cancelAdapt,3,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSize,setDensity,10,1,4
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getInstance,10,3,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,AutoSizeConfig,2,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getApplication,4,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,init,3,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,init,3,1,2
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,init,30,2,3
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,onConfigurationChanged,6,2,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,onLowMemory,2,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,restart,9,2,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,stop,10,2,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,setAutoAdaptStrategy,6,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,setBaseOnWidth,4,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,setUseDeviceSize,4,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,setLog,4,1,1
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getExternalAdaptManager,3,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,isBaseOnWidth,3,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,isUseDeviceSize,3,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getScreenWidth,3,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getScreenHeight,3,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getDesignWidthInDp,4,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getDesignHeightInDp,4,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getInitDensity,3,1,0
v0.6.0,dc507ff8cd85bede27c2027b40fc8ca103acf2bc,Sat Aug 18 08:26:27 CEST 2018,AndroidAutoSize,me.jessyan.autosize,AutoSizeConfig,getInitDensityDpi,3,1,0
