NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.codahalemetricspublisher,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigurableCodaHaleMetricFilter; ConfigurableCodaHaleMetricFilterTest]; [HystrixCodaHaleMetricsPublisher; HystrixCodaHaleMetricsPublisherCollapser; HystrixCodaHaleMetricsPublisherCommand; HystrixCodaHaleMetricsPublisherThreadPool]. LCC (Lack of Component Cohesion) = 0.33
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.hystrix.contrib.javanica.cache; com.netflix.hystrix.contrib.javanica.command
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.cache,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.netflix.hystrix.contrib.javanica.command
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.command,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.hystrix.contrib.javanica.command; com.netflix.hystrix.contrib.javanica.cache
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.command,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.netflix.hystrix.contrib.javanica.conf
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.command.closure,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.hystrix.contrib.javanica.command.closure; com.netflix.hystrix.contrib.javanica.command
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.command.closure,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.netflix.hystrix.contrib.javanica.command
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.exception,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommandActionExecutionException; ExceptionUtils]; [FallbackDefinitionException]; [FallbackInvocationException]; [HystrixCacheKeyGenerationException]; [HystrixCachingException]; [HystrixPropertyException]. LCC (Lack of Component Cohesion) = 0.86
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.hystrix.contrib.javanica.utils; com.netflix.hystrix.contrib.javanica.command
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.netflix.hystrix.contrib.javanica.command
v1.5.1,19dd71ea6bbaac642462ae50df5ed69008bfb846,Thu Mar 03 22:37:27 CET 2016,Hystrix,com.netflix.hystrix.contrib.javanica.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AopUtils; MethodProvider; MethodSignature; MethodFinder; FallbackMethod]; [CommonUtils]; [EnvUtils]; [FutureDecorator]; [TypeHelper]. LCC (Lack of Component Cohesion) = 0.56
