NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: me.zhyd.oauth.request; me.zhyd.oauth.utils
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: me.zhyd.oauth.utils; me.zhyd.oauth.request
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): me.zhyd.oauth.request
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthChecker; GlobalAuthUtil; StringUtils; UrlBuilder; GlobalAuthUtilTest; UrlBuilderTest; AuthState; IpUtils; AuthStateTest]; [CustomTest]. LCC (Lack of Component Cohesion) = 0.2
v1.9.2,a75bac2cf743f32edc34deca477925b60042da0c,Mon Jul 22 11:30:18 CEST 2019,JustAuth,me.zhyd.oauth.request,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: me.zhyd.oauth.request; me.zhyd.oauth.utils
v1.9.2,a75bac2cf743f32edc34deca477925b60042da0c,Mon Jul 22 11:30:18 CEST 2019,JustAuth,me.zhyd.oauth.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: me.zhyd.oauth.utils; me.zhyd.oauth.request
v1.9.2,a75bac2cf743f32edc34deca477925b60042da0c,Mon Jul 22 11:30:18 CEST 2019,JustAuth,me.zhyd.oauth.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): me.zhyd.oauth.request
v1.9.2,a75bac2cf743f32edc34deca477925b60042da0c,Mon Jul 22 11:30:18 CEST 2019,JustAuth,me.zhyd.oauth.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthChecker; GlobalAuthUtil; StringUtils; UrlBuilder; GlobalAuthUtilTest; UrlBuilderTest; AuthState; IpUtils; AuthStateTest]; [CustomTest]. LCC (Lack of Component Cohesion) = 0.2
v1.10.0,4d8411e978c7d28709c7862459326db404c3064e,Tue Aug 06 12:26:50 CEST 2019,JustAuth,me.zhyd.oauth.cache,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthCache; AuthDefaultCache; CacheState; AuthCacheConfig]; [AuthStateCache]; [AuthStateCacheTest]. LCC (Lack of Component Cohesion) = 0.5
v1.10.0,4d8411e978c7d28709c7862459326db404c3064e,Tue Aug 06 12:26:50 CEST 2019,JustAuth,me.zhyd.oauth.request,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: me.zhyd.oauth.request; me.zhyd.oauth.utils
v1.10.0,4d8411e978c7d28709c7862459326db404c3064e,Tue Aug 06 12:26:50 CEST 2019,JustAuth,me.zhyd.oauth.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: me.zhyd.oauth.utils; me.zhyd.oauth.request
