NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.exception,AuthException,AuthException,3,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.exception,AuthException,AuthException,5,1,2
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.exception,AuthException,AuthException,3,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.exception,AuthException,AuthException,3,1,2
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.exception,AuthException,AuthException,3,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.exception,AuthException,getErrorCode,3,1,0
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.exception,AuthException,getErrorMsg,3,1,0
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.model,AuthResponse,ok,3,1,0
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthAlipayRequest,AuthAlipayRequest,4,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthAlipayRequest,getAccessToken,16,2,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthAlipayRequest,getUserInfo,17,2,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthAlipayRequest,authorize,3,1,0
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthBaiduRequest,AuthBaiduRequest,3,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthBaiduRequest,getAccessToken,4,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthBaiduRequest,getUserInfo,7,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthBaiduRequest,getAvatar,4,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthBaiduRequest,revoke,7,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthBaiduRequest,refresh,5,1,1
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthBaiduRequest,authorize,3,1,0
