NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.config,AuthConfig,7,0,0,0,36,0,0,0,-1.0,29,0,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\config\AuthConfig.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.exception,AuthException,2,0,7,7,32,7,0,0,0.5714285714285714,0,0,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\exception\AuthException.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.model,AuthCallback,3,0,0,0,20,0,0,0,-1.0,16,0,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\model\AuthCallback.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.model,AuthResponse,3,0,1,1,27,1,0,0,0.0,1,0,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\model\AuthResponse.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.model,AuthToken,12,0,0,0,26,0,0,0,-1.0,17,0,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\model\AuthToken.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.model,AuthUser,12,0,0,0,56,0,0,0,-1.0,15,1,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\model\AuthUser.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthAlipayRequest,1,0,4,2,53,6,0,2,0.5,0,6,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\request\AuthAlipayRequest.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthBaiduRequest,0,0,9,4,60,10,0,2,-1.0,0,3,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\request\AuthBaiduRequest.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthCodingRequest,0,0,5,2,40,6,0,2,-1.0,0,5,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\request\AuthCodingRequest.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthCsdnRequest,0,0,4,1,32,5,0,2,-1.0,0,4,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\request\AuthCsdnRequest.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthDefaultRequest,2,0,17,3,136,19,24,1,0.0,0,4,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\request\AuthDefaultRequest.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthDingTalkRequest,0,0,5,2,44,6,0,2,-1.0,0,6,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\request\AuthDingTalkRequest.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthDouyinRequest,0,0,10,3,78,11,0,2,-1.0,0,2,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\request\AuthDouyinRequest.java
v1.9.1,798e7556ba759b2d514d3657a3233540d7b3198d,Sat Jul 20 11:21:21 CEST 2019,JustAuth,me.zhyd.oauth.request,AuthFacebookRequest,0,0,6,1,52,9,0,2,-1.0,0,5,C:\Users\Grazia\AppData\Local\Temp\RD-5261717809383687343\JustAuth\src\main\java\me\zhyd\oauth\request\AuthFacebookRequest.java
