NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper; com.github.pagehelper.parser
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper; com.github.pagehelper.parser.impl; com.github.pagehelper.parser
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.pagehelper.parser; com.github.pagehelper.parser.impl
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.parser.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.parser.impl; com.github.pagehelper
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.parser.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.parser.impl; com.github.pagehelper.parser; com.github.pagehelper
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.parser,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.parser; com.github.pagehelper
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.parser,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.parser; com.github.pagehelper; com.github.pagehelper.parser.impl
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.mapper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.mapper; com.github.pagehelper.test.basic.dynamic
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.mapper,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.pagehelper.test.basic.dynamic
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Country]; [CountryExample; Criteria; Criterion; GeneratedCriteria]; [CountryQueryModel]. LCC (Lack of Component Cohesion) = 0.5
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.test.basic,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArgumentsMapTest]; [ArgumentsObjTest]; [OffsetTest]; [PageHelperTest]; [PageInfoTest]; [RemoveOrderTest]; [TestDistinct]; [TestIntMax]; [TestISelect]; [TestLike]; [TestNamespaceMap]. LCC (Lack of Component Cohesion) = 1.0
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.test.basic.dynamic,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.test.basic.dynamic; com.github.pagehelper.mapper
v4.1.0,b615454457d3d7eb750bb2958f20a5d38a8a0179,Tue Dec 29 13:39:32 CET 2015,Mybatis-PageHelper,com.github.pagehelper.test.basic.dynamic,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CacheTest; CacheThread]; [TestDynamicChoose]; [TestDynamicIf]; [TestDynamicIf2]; [TestDynamicIfOrder]; [TestDynamicIfTwoList]; [TestDynamicWhere; Where]. LCC (Lack of Component Cohesion) = 0.78
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper; com.github.pagehelper.parser
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper; com.github.pagehelper.parser.impl; com.github.pagehelper.parser
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.pagehelper.parser; com.github.pagehelper.parser.impl
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.parser.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.parser.impl; com.github.pagehelper
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.parser.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.parser.impl; com.github.pagehelper.parser; com.github.pagehelper
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.parser,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.parser; com.github.pagehelper
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.parser,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.parser; com.github.pagehelper; com.github.pagehelper.parser.impl
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.mapper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.mapper; com.github.pagehelper.test.basic.dynamic
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.mapper,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.pagehelper.test.basic.dynamic
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Country]; [CountryExample; Criteria; Criterion; GeneratedCriteria]; [CountryQueryModel]. LCC (Lack of Component Cohesion) = 0.5
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.test.basic,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArgumentsMapTest]; [ArgumentsObjTest]; [OffsetTest]; [PageHelperTest]; [PageInfoTest]; [RemoveOrderTest]; [TestDistinct]; [TestIntMax]; [TestISelect]; [TestLike]; [TestNamespaceMap]. LCC (Lack of Component Cohesion) = 1.0
v4.1.1,06789f332fc790b6bef1c3f9fedcf5197519d3bc,Tue Jan 05 14:52:40 CET 2016,Mybatis-PageHelper,com.github.pagehelper.test.basic.dynamic,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.pagehelper.test.basic.dynamic; com.github.pagehelper.mapper
