NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.pictureselector.adapter,GridImageAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TYPE_CAMERA; TYPE_PICTURE; mInflater; list; selectMax; context; mOnAddPicClickListener; mImg; ll_del; tv_duration; mItemClickListener
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.pictureselector,App,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.pictureselector,SimpleActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.adapter,ViewHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.adapter,SimpleFragmentAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.compress,Luban,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Luban; Builder
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.compress,Luban,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.compress,Builder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.config,PictureConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: FC_TAG; EXTRA_RESULT_SELECTION; EXTRA_LOCAL_MEDIAS; EXTRA_PREVIEW_SELECT_LIST; EXTRA_SELECT_LIST; EXTRA_POSITION; EXTRA_MEDIA; DIRECTORY_PATH; BUNDLE_CAMERA_PATH; BUNDLE_ORIGINAL_PATH; EXTRA_BOTTOM_PREVIEW; EXTRA_CONFIG; IMAGE; VIDEO; UPDATE_FLAG; CLOSE_PREVIEW_FLAG; PREVIEW_DATA_FLAG; TYPE_ALL; TYPE_IMAGE; TYPE_VIDEO; TYPE_AUDIO; MAX_COMPRESS_SIZE; TYPE_CAMERA; TYPE_PICTURE; SINGLE; MULTIPLE; CHOOSE_REQUEST; REQUEST_CAMERA; READ_EXTERNAL_STORAGE; CAMERA
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.config,PictureConfig,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: FC_TAG; EXTRA_RESULT_SELECTION; EXTRA_LOCAL_MEDIAS; EXTRA_PREVIEW_SELECT_LIST; EXTRA_SELECT_LIST; EXTRA_POSITION; EXTRA_MEDIA; DIRECTORY_PATH; BUNDLE_CAMERA_PATH; BUNDLE_ORIGINAL_PATH; EXTRA_BOTTOM_PREVIEW; EXTRA_CONFIG; IMAGE; VIDEO; UPDATE_FLAG; CLOSE_PREVIEW_FLAG; PREVIEW_DATA_FLAG; TYPE_ALL; TYPE_IMAGE; TYPE_VIDEO; TYPE_AUDIO; MAX_COMPRESS_SIZE; TYPE_CAMERA; TYPE_PICTURE; SINGLE; MULTIPLE; CHOOSE_REQUEST; REQUEST_CAMERA; READ_EXTERNAL_STORAGE; CAMERA
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.config,PictureMimeType,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: JPEG; PNG
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.config,PictureSelectionConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mimeType; camera; outputCameraPath; compressSavePath; suffixType; themeStyleId; selectionMode; maxSelectNum; minSelectNum; videoQuality; cropCompressQuality; videoMaxSecond; videoMinSecond; recordVideoSecond; minimumCompressSize; imageSpanCount; overrideWidth; overrideHeight; aspect_ratio_x; aspect_ratio_y; sizeMultiplier; cropWidth; cropHeight; zoomAnim; isCompress; isCamera; isGif; enablePreview; enPreviewVideo; enablePreviewAudio; checkNumMode; openClickSound; enableCrop; freeStyleCropEnabled; circleDimmedLayer; showCropFrame; showCropGrid; hideBottomControls; rotateEnabled; scaleEnabled; previewEggs; synOrAsy; isDragFrame; selectionMedias; INSTANCE; CREATOR
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.config,PictureSelectionConfig,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: InstanceHolder; PictureSelectionConfig
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.config,InstanceHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: INSTANCE
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.decoration,GridSpacingItemDecoration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.decoration,RecycleViewDivider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.dialog,PictureDialog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: context
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.dialog,PictureSpinView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.entity,EventEntity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: what; position; medias; CREATOR
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.entity,LocalMedia,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: path; compressPath; cutPath; duration; isChecked; isCut; position; num; mimeType; pictureType; compressed; width; height; CREATOR
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.entity,LocalMedia,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 34 public methods
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.entity,LocalMediaFolder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; path; firstImagePath; imageNum; checkedNum; isChecked; images; CREATOR
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.immersive,RomUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MIUI; FLYME; ANDROID_NATIVE; NA
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.immersive,AvailableRomType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: MIUI; FLYME; ANDROID_NATIVE; NA
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.immersive,AvailableRomType,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MIUI; FLYME; ANDROID_NATIVE; NA
v2.2.4,dc67fee031b007dd6006ae8b235830c3b8277a77,Thu Aug 22 04:44:21 CEST 2019,PictureSelector,com.luck.picture.lib.permissions,Permission,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; granted; shouldShowRequestPermissionRationale
