NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,CirclePageIndicator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: HORIZONTAL; VERTICAL; mRadius; mPaintStroke; mPaintFill; mViewPager; mListener; mCurrentPage; mSnapPage; mCurrentOffset; mScrollState; mPageSize; mOrientation; mCentered; mSnap; INVALID_POINTER; mTouchSlop; mLastMotionX; mActivePointerId; mIsDragging; currentPage; CREATOR
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,CirclePageIndicator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,SavedState,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: currentPage; CREATOR
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,TabPageIndicator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TabPageIndicator; TabView
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,TitlePageIndicator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SELECTION_FADE_PERCENTAGE; BOLD_FADE_PERCENTAGE; value; mViewPager; mListener; mTitleProvider; mCurrentPage; mCurrentOffset; mScrollState; mPaintText; mBoldText; mColorText; mColorSelected; mPath; mPaintFooterLine; mFooterIndicatorStyle; mPaintFooterIndicator; mFooterIndicatorHeight; mFooterIndicatorUnderlinePadding; mFooterPadding; mTitlePadding; mTopPadding; mClipPadding; mFooterLineHeight; INVALID_POINTER; mTouchSlop; mLastMotionX; mActivePointerId; mIsDragging; mCenterItemClickListener; currentPage; CREATOR
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,TitlePageIndicator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 47 public methods
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,SavedState,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,SavedState,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: currentPage; CREATOR
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,BaseSampleActivity,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: SampleCirclesDefault; SampleCirclesInitialPage; SampleCirclesSnap; SampleCirclesStyledLayout; SampleCirclesStyledMethods; SampleCirclesStyledTheme; SampleCirclesWithListener; SampleTabsDefault; SampleTabsStyled; SampleTitlesCenterClickListener; SampleTitlesDefault; SampleTitlesInitialPage; SampleTitlesStyledLayout; SampleTitlesStyledMethods; SampleTitlesStyledTheme; SampleTitlesTriangle; SampleTitlesWithListener
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesDefault,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesInitialPage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesSnap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesStyledLayout,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesStyledMethods,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesStyledTheme,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesWithListener,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseSampleActivity
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTabsDefault,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseSampleActivity
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTabsDefault,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SampleTabsDefault; GoogleMusicAdapter
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTabsStyled,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseSampleActivity
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,GoogleMusicAdapter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesCenterClickListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesCenterClickListener,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseSampleActivity
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesDefault,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesInitialPage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesStyledLayout,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesStyledMethods,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
