NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,CirclePageIndicator,22,3,38,32,384,76,0,1,0.18421052631578946,2,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,SavedState,2,1,5,4,23,5,0,0,0.8,2,0,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,PageIndicator,0,0,5,5,30,5,3,0,-1.0,1,0,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\PageIndicator.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,TabPageIndicator,10,0,21,19,171,38,0,1,0.14285714285714285,2,3,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\TabPageIndicator.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,TabView,2,0,4,4,22,5,0,0,0.5,1,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\TabPageIndicator.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,TitlePageIndicator,32,2,55,47,569,106,0,1,0.16363636363636364,3,3,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\TitlePageIndicator.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,OnCenterItemClickListener,0,0,1,1,10,1,0,0,-1.0,1,0,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\TitlePageIndicator.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,SavedState,2,1,5,4,23,5,0,0,0.8,0,0,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\TitlePageIndicator.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator,TitleProvider,0,0,1,1,11,1,0,0,-1.0,2,0,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\library\src\com\viewpagerindicator\TitleProvider.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,BaseSampleActivity,4,0,2,2,32,7,17,0,1.0,0,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\BaseSampleActivity.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,ListSamples,2,0,7,2,80,14,0,0,0.42857142857142855,1,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\ListSamples.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesDefault,0,0,1,0,11,1,0,1,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleCirclesDefault.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesInitialPage,0,0,1,0,12,1,0,1,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleCirclesInitialPage.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesSnap,0,0,1,0,13,1,0,1,-1.0,0,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleCirclesSnap.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesStyledLayout,0,0,1,0,11,1,0,1,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleCirclesStyledLayout.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesStyledMethods,0,0,1,0,18,1,0,1,-1.0,0,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleCirclesStyledMethods.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesStyledTheme,0,0,1,0,11,1,0,1,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleCirclesStyledTheme.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleCirclesWithListener,0,0,4,3,21,4,0,1,-1.0,1,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleCirclesWithListener.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTabsDefault,1,0,5,4,26,5,0,1,0.6,2,3,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTabsDefault.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,GoogleMusicAdapter,0,0,4,4,14,4,0,1,-1.0,2,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTabsDefault.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTabsStyled,1,0,5,4,26,5,0,1,0.6,2,3,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTabsStyled.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,GoogleMusicAdapter,0,0,4,4,14,4,0,1,-1.0,0,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTabsStyled.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesCenterClickListener,0,0,2,1,17,2,0,1,-1.0,0,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTitlesCenterClickListener.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesDefault,0,0,1,0,11,1,0,1,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTitlesDefault.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesInitialPage,0,0,1,0,12,1,0,1,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTitlesInitialPage.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesStyledLayout,0,0,1,0,11,1,0,1,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTitlesStyledLayout.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesStyledMethods,0,0,1,0,21,1,0,1,-1.0,0,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTitlesStyledMethods.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesStyledTheme,0,0,1,0,11,1,0,1,-1.0,0,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTitlesStyledTheme.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesTriangle,0,0,1,0,13,1,0,1,-1.0,0,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTitlesTriangle.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,SampleTitlesWithListener,0,0,4,3,21,4,0,1,-1.0,1,2,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\SampleTitlesWithListener.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,TestFragment,2,0,3,3,33,5,0,0,0.0,6,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\TestFragment.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,TestFragmentAdapter,2,0,4,4,19,5,3,0,0.75,9,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\TestFragmentAdapter.java
2.2.1,606d0996b09900890d918ba7e7103b7b9e7be479,Sat Dec 31 23:20:05 CET 2011,ViewPagerIndicator,com.viewpagerindicator.sample,TestTitleFragmentAdapter,0,0,2,2,8,2,0,1,-1.0,8,1,C:\Users\Grazia\AppData\Local\Temp\RD-16730965515713031074\ViewPagerIndicator\sample\src\com\viewpagerindicator\sample\TestTitleFragmentAdapter.java
