NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http.sample,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http.sample,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.loopj.android.http.sample; com.loopj.android.http.sample.services
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http.sample.services,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.loopj.android.http.sample.services; com.loopj.android.http.sample
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http.sample.services,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.loopj.android.http.sample
1.4.4,c5b3bb96afedbad911963be52715ad28fe98fc00,Mon Oct 28 19:14:07 CET 2013,android-async-http,com.loopj.android.http.sample,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BinarySample; SampleParentActivity; DeleteSample; FileSample; GetSample; JsonSample; PostSample; PutSample]; [WaypointsActivity]. LCC (Lack of Component Cohesion) = 0.22
1.4.5,ec25dde21a80838ea5df9c7404182de4419bfa66,Sun Jun 22 19:21:35 CEST 2014,android-async-http,com.loopj.android.http,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
1.4.5,ec25dde21a80838ea5df9c7404182de4419bfa66,Sun Jun 22 19:21:35 CEST 2014,android-async-http,com.loopj.android.http.sample,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.loopj.android.http.sample; com.loopj.android.http.sample.services
1.4.5,ec25dde21a80838ea5df9c7404182de4419bfa66,Sun Jun 22 19:21:35 CEST 2014,android-async-http,com.loopj.android.http.sample.services,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.loopj.android.http.sample.services; com.loopj.android.http.sample
1.4.5,ec25dde21a80838ea5df9c7404182de4419bfa66,Sun Jun 22 19:21:35 CEST 2014,android-async-http,com.loopj.android.http.sample.services,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.loopj.android.http.sample
1.4.7,d39105aac323e2c6403930cd77783262831e2e2b,Sat May 09 18:49:14 CEST 2015,android-async-http,com.loopj.android.http,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
1.4.7,d39105aac323e2c6403930cd77783262831e2e2b,Sat May 09 18:49:14 CEST 2015,android-async-http,com.loopj.android.http.sample,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
1.4.7,d39105aac323e2c6403930cd77783262831e2e2b,Sat May 09 18:49:14 CEST 2015,android-async-http,com.loopj.android.http.sample,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.loopj.android.http.sample; com.loopj.android.http.sample.services
