NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, Implementation Smell, Cause of the Smell
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,AsyncHttpClient,Magic Number,The method contains a magic number: 80
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,AsyncHttpClient,Magic Number,The method contains a magic number: 443
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,AsyncHttpClient,Magic Number,The method contains a magic number: 443
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,getDefaultSchemeRegistry,Magic Number,The method contains a magic number: 80
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,getDefaultSchemeRegistry,Magic Number,The method contains a magic number: 443
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,AsyncHttpClient,Complex Method,Cyclomatic complexity of the method is 10
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,AsyncHttpClient,Long Identifier,The length of the field DEFAULT_RETRY_SLEEP_TIME_MILLIS is 31.
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,AsyncHttpClient,Long Statement,The length of the statement "Log.d(LOG_TAG`String.format("Headers were overwritten! (%s | %s) overwrites (%s | %s)"`header`clientHeaderMap.get(header)`overwritten.getName()`overwritten.getValue()));" is 169.
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,process,Long Statement,The length of the statement "Log.d(LOG_TAG`String.format("Headers were overwritten! (%s | %s) overwrites (%s | %s)"`header`clientHeaderMap.get(header)`overwritten.getName()`overwritten.getValue()));" is 169.
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,setTimeout,Magic Number,The method contains a magic number: 1000
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,setConnectTimeout,Magic Number,The method contains a magic number: 1000
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,setResponseTimeout,Magic Number,The method contains a magic number: 1000
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,setProxy,Long Statement,The length of the statement "httpClient.getCredentialsProvider().setCredentials(new AuthScope(hostname`port)`new UsernamePasswordCredentials(username`password));" is 132.
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,setSSLSocketFactory,Magic Number,The method contains a magic number: 443
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,head,Long Statement,The length of the statement "return sendRequest(httpClient`httpContext`new HttpHead(getUrlWithQueryString(isUrlEncodingEnabled`url`params))`null`responseHandler`context);" is 141.
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,head,Long Parameter List,The method has 5 parameters. 
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,get,Long Statement,The length of the statement "return sendRequest(httpClient`httpContext`new HttpGet(getUrlWithQueryString(isUrlEncodingEnabled`url`params))`null`responseHandler`context);" is 140.
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,get,Long Parameter List,The method has 5 parameters. 
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,post,Long Parameter List,The method has 5 parameters. 
1.4.6,57c66245728c648c8b9b8e5ee9d46c808502ce86,Sun Sep 07 18:53:26 CEST 2014,android-async-http,com.loopj.android.http,AsyncHttpClient,post,Long Statement,The length of the statement "return sendRequest(httpClient`httpContext`addEntityToRequestBase(new HttpPost(URI.create(url).normalize())`entity)`contentType`responseHandler`context);" is 152.
