NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.helper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.helper; com.googlecode.androidannotations.processing
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.helper,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.helper; com.googlecode.androidannotations.processing; com.googlecode.androidannotations.rclass
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.helper,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.googlecode.androidannotations.processing; com.googlecode.androidannotations.validation
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.helper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AndroidManifest; AndroidManifestFinder; IdValidatorHelper; ModelConstants; ValidatorHelper; DefaultAnnotationCondition; TypeKindAnnotationCondition; AnnotationHelper; TargetAnnotationHelper; CaseHelper; HasTarget; IdAnnotationHelper; RestAnnotationHelper; RoboGuiceConstants]; [APTCodeModelHelper; Parameter]; [ProcessorConstants]; [TimeStats; Duration]. LCC (Lack of Component Cohesion) = 0.21
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.model; com.googlecode.androidannotations.processing
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.model,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.model; com.googlecode.androidannotations.processing; com.googlecode.androidannotations.helper
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.googlecode.androidannotations.processing
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.processing,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.processing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.processing; com.googlecode.androidannotations.helper
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.processing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.processing; com.googlecode.androidannotations.helper; com.googlecode.androidannotations.rclass
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.rclass,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.rclass; com.googlecode.androidannotations.processing
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.rclass,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.rclass; com.googlecode.androidannotations.processing; com.googlecode.androidannotations.helper
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.rclass,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.googlecode.androidannotations.processing; com.googlecode.androidannotations.helper
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.rclass,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AndroidRClassFinder; RClass; RInnerClass; CoumpoundInnerClass; CoumpoundRClass; IRClass; IRInnerClass; ProjectRClassFinder]; [ManifestPackageExtractor; ManifestPackageExtractorTest]. LCC (Lack of Component Cohesion) = 0.2
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.validation,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.validation; com.googlecode.androidannotations.helper
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.validation,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.googlecode.androidannotations.validation; com.googlecode.androidannotations.rclass; com.googlecode.androidannotations.helper
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.validation.rest,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AcceptValidator]; [DeleteValidator]; [GetValidator]; [HeadValidator]; [OptionsValidator]; [PostValidator]; [PutValidator]; [RestValidator]. LCC (Lack of Component Cohesion) = 1.0
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.test15,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
androidannotations-2.2,2ad63a0e5cf5af0b4cdd09b102504ea10d4f9d6e,Thu Dec 08 12:44:13 CET 2011,androidannotations,com.googlecode.androidannotations.test15,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractActivity]; [ActivityWithServices]; [ApplicationInjectedActivity]; [BackpressedActivity]; [BasicComponent; BasicComponentTest; EmptyActivityWithoutLayout]; [ClicksHandledActivity; EventsHandledAbstractActivity; LongClicksHandledActivity; TouchesHandledActivity]; [CustomData; ExtraInjectedActivity; InjectExtraTest]; [EmptyActivityWithLayout]; [ExtendingActivity]; [FromHtmlActivity]; [ItemClicksHandledActivity]; [NoTitleFullscreenActivity]; [ThreadActivity]; [TracedActivity]; [TransactionalActivity]; [ViewsInjectedActivity]; [AbstractActivityTest]; [ApplicationInjectedActivityTest]; [BackpressedActivityTestSkipped]; [ClicksHandledActivityTest]; [EmptyActivityWithLayoutTest]; [EmptyActivityWithoutLayoutTest]; [FromHtmlActivityTest]; [ItemClicksHandledActivityTest]; [LongClicksHandledActivityTest]; [MyAssertions; ViewAssert]; [ServiceInjectionTest]; [TouchesHandledActivityTest]; [TracedActivityTest]; [TransactionalActivityTest]; [ViewsInjectedActivityTest]. LCC (Lack of Component Cohesion) = 0.79
