NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo,BlankFragment,1,0,2,2,12,2,0,0,1.0,0,0,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\BlankFragment.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo,MainActivity,1,0,6,4,89,24,0,0,0.8333333333333334,2,4,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\MainActivity.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo,MainLooper,1,0,3,2,17,4,0,0,0.6666666666666666,2,1,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\MainLooper.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo,SchameFilterActivity,0,0,3,2,15,3,0,0,-1.0,0,2,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\SchameFilterActivity.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo,TestWebview,1,0,1,0,9,1,0,0,0.0,0,0,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\TestWebview.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo.testactivity,Test1Activity,6,0,1,0,20,1,0,0,0.0,1,3,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\testactivity\Test1Activity.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo.testactivity,Test2Activity,1,0,1,0,12,2,0,0,0.0,0,0,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\testactivity\Test2Activity.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo.testactivity,Test3Activity,4,0,1,0,16,1,0,0,0.0,1,1,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\testactivity\Test3Activity.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo.testactivity,Test4Activity,0,0,1,0,11,2,0,0,-1.0,1,1,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\testactivity\Test4Activity.java
1.0.6,8d09269ba3e81f4a047864ce93858f95e29e6b60,Thu Feb 23 15:56:21 CET 2017,arouter,com.alibaba.android.arouter.demo.testinterceptor,Test1Interceptor,1,0,6,6,58,7,0,0,1.0,1,5,C:\Users\Armando\AppData\Local\Temp\RD-14423849464640584017\arouter\app\src\main\java\com\alibaba\android\arouter\demo\testinterceptor\Test1Interceptor.java
