NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.74. All the dependencies among components: from: com.taobao.arthas.agent to: java.arthas; from: com.taobao.arthas.boot to: com.taobao.arthas.common; from: com.taobao.arthas.client to: org.apache.commons.net.telnet; from: com.taobao.arthas.client to: com.taobao.arthas.common; from: org.apache.commons.net to: org.apache.commons.net.util; from: com.taobao.arthas.core.advisor to: com.taobao.arthas.core.util.matcher; from: com.taobao.arthas.core.advisor to: com.taobao.arthas.core.util.affect; from: com.taobao.arthas.core.advisor to: com.taobao.arthas.core.util.collection; from: com.taobao.arthas.core.advisor to: com.taobao.arthas.core; from: com.taobao.arthas.core.advisor to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.advisor to: com.taobao.arthas.core.util.reflect; from: com.taobao.arthas.core.advisor to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.advisor to: com.taobao.arthas.core.command.express; from: com.taobao.arthas.core to: com.taobao.arthas.core.config; from: com.taobao.arthas.core to: com.taobao.arthas.common; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.command; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.shell.session; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.util.usage; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.shell.term.impl; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.common; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.util.matcher; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.util.affect; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.advisor; from: com.taobao.arthas.core.command.basic1000 to: com.alibaba.arthas.tunnel.client; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.server; from: com.taobao.arthas.core.command.basic1000 to: com.taobao.arthas.core.shell; from: com.taobao.arthas.core.command to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.command to: com.taobao.arthas.core.command.basic1000; from: com.taobao.arthas.core.command to: com.taobao.arthas.core.command.klass100; from: com.taobao.arthas.core.command to: com.taobao.arthas.core.command.monitor200; from: com.taobao.arthas.core.command to: com.taobao.arthas.core.command.hidden; from: com.taobao.arthas.core.command to: com.taobao.arthas.core.command.logger; from: com.taobao.arthas.core.command to: com.taobao.arthas.core.advisor; from: com.taobao.arthas.core.command.hidden to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.command.hidden to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.command.hidden to: com.taobao.arthas.core.util.matcher; from: com.taobao.arthas.core.command.hidden to: com.taobao.arthas.core.command; from: com.taobao.arthas.core.command.hidden to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.command.hidden to: com.taobao.arthas.core.util.reflect; from: com.taobao.arthas.core.command.hidden to: com.taobao.arthas.core; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.core.util.affect; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.core.command; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.core.advisor; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.core.util.matcher; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.core.command.express; from: com.taobao.arthas.core.command.klass100 to: com.taobao.arthas.compiler; from: com.taobao.arthas.core.command.logger to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.command.logger to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.command.logger to: com.taobao.arthas.core.command; from: com.taobao.arthas.core.command.logger to: com.taobao.arthas.common; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.advisor; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.util.metrics; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.shell.session; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.command; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.util.matcher; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.util.affect; from: com.taobao.arthas.core.command.monitor200 to: one.profiler; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.common; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.command.express; from: com.taobao.arthas.core.command.monitor200 to: com.taobao.arthas.core.view; from: com.taobao.arthas.core.config to: com.taobao.arthas.core.shell; from: com.taobao.arthas.core.config to: com.taobao.arthas.core.util.reflect; from: com.taobao.arthas.core.server to: com.taobao.arthas.core.shell; from: com.taobao.arthas.core.server to: com.alibaba.arthas.tunnel.client; from: com.taobao.arthas.core.server to: com.taobao.arthas.core.config; from: com.taobao.arthas.core.server to: com.taobao.arthas.core.command; from: com.taobao.arthas.core.server to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.shell.cli to: com.taobao.arthas.core.shell.cli.impl; from: com.taobao.arthas.core.shell.cli to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell.cli to: com.taobao.arthas.core.shell.session; from: com.taobao.arthas.core.shell.cli to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.shell.cli to: com.taobao.arthas.core.util.usage; from: com.taobao.arthas.core.shell.command to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.shell.command to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.command to: com.taobao.arthas.core.advisor; from: com.taobao.arthas.core.shell.command.impl to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.command.impl to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.shell.command.impl to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.shell.command.impl to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.shell.command.internal to: com.taobao.arthas.core.command.basic1000; from: com.taobao.arthas.core.shell.command.internal to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.shell.command.internal to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.shell.command.internal to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell.future to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.handlers to: com.taobao.arthas.core.shell.future; from: com.taobao.arthas.core.shell.handlers.command to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.shell.handlers.server to: com.taobao.arthas.core.shell.impl; from: com.taobao.arthas.core.shell.handlers.server to: com.taobao.arthas.core.shell.future; from: com.taobao.arthas.core.shell.handlers.server to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.handlers.server to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell.handlers.shell to: com.taobao.arthas.core.shell.impl; from: com.taobao.arthas.core.shell.handlers.shell to: com.taobao.arthas.core.shell.system.impl; from: com.taobao.arthas.core.shell.handlers.shell to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.shell.handlers.shell to: com.taobao.arthas.core.shell.future; from: com.taobao.arthas.core.shell.handlers.shell to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.shell.handlers.shell to: com.taobao.arthas.core.shell.system; from: com.taobao.arthas.core.shell.handlers.shell to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell.handlers.shell to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.shell.handlers.term to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.handlers.term to: com.taobao.arthas.core.shell.term.impl; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.command.internal; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.system.impl; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.future; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.session; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.system; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.shell.impl to: com.taobao.arthas.core.server; from: com.taobao.arthas.core.shell.session.impl to: com.taobao.arthas.core.shell.system.impl; from: com.taobao.arthas.core.shell to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.shell to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.system to: com.taobao.arthas.core.shell.system.impl; from: com.taobao.arthas.core.shell.system to: com.taobao.arthas.core.shell.impl; from: com.taobao.arthas.core.shell.system to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.system to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell.system to: com.taobao.arthas.core.shell.session; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.impl; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.system; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.command; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.future; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.command.internal; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.shell.session; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.advisor; from: com.taobao.arthas.core.shell.system.impl to: com.taobao.arthas.core.server; from: com.taobao.arthas.core.shell.term.impl to: com.taobao.arthas.core.shell.session; from: com.taobao.arthas.core.shell.term.impl to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.shell.term.impl to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.shell.term.impl to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.term.impl to: com.taobao.arthas.core.shell; from: com.taobao.arthas.core.shell.term.impl to: com.taobao.arthas.core.shell.term; from: com.taobao.arthas.core.shell.term.impl to: com.taobao.arthas.core.shell.term.impl.http; from: com.taobao.arthas.core.shell.term.impl to: com.taobao.arthas.core.shell.future; from: com.taobao.arthas.core.shell.term.impl.http to: com.taobao.arthas.common; from: com.taobao.arthas.core.shell.term.impl.httptelnet to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.term.impl.httptelnet to: com.taobao.arthas.core.shell.term.impl; from: com.taobao.arthas.core.shell.term.impl.httptelnet to: com.taobao.arthas.core.shell.future; from: com.taobao.arthas.core.shell.term to: com.taobao.arthas.core.shell.handlers; from: com.taobao.arthas.core.shell.term to: com.taobao.arthas.core.shell.session; from: com.taobao.arthas.core.shell.term to: com.taobao.arthas.core.config; from: com.taobao.arthas.core.shell.term to: com.taobao.arthas.core.shell; from: com.taobao.arthas.core.util.affect to: com.taobao.arthas.core; from: com.taobao.arthas.core.util to: com.taobao.arthas.common; from: com.taobao.arthas.core.util to: com.taobao.arthas.core.view; from: com.taobao.arthas.core.util to: com.taobao.arthas.core.util.matcher; from: com.taobao.arthas.core.util to: com.taobao.arthas.core; from: com.taobao.arthas.core.util to: com.taobao.arthas.core.shell.cli; from: com.taobao.arthas.core.util to: com.taobao.arthas.core.testtool; from: com.taobao.arthas.core.util.collection to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.util.matcher to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.util.metrics to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.util.reflect to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.view to: com.taobao.arthas.core.util; from: com.taobao.arthas.core.view to: com.taobao.arthas.core; from: com.alibaba.arthas.tunnel.server.app to: com.alibaba.arthas.tunnel.server; from: com.alibaba.arthas.tunnel.server.endpoint to: com.alibaba.arthas.tunnel.server.app; from: com.alibaba.arthas.tunnel.server.endpoint to: com.alibaba.arthas.tunnel.server.
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DatagramSocketClient; DatagramSocketFactory; DefaultDatagramSocketFactory]; [DefaultSocketFactory; SocketClient; PrintCommandListener; ProtocolCommandEvent; ProtocolCommandListener; ProtocolCommandSupport]; [MalformedServerReplyException]. LCC (Lack of Component Cohesion) = 0.3
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.common,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnsiLog; ExecutingCommand; IOUtils; SocketUtils; UsageRender; OSUtils]; [JavaVersionUtils]; [PidUtils]; [ReflectException; ReflectUtils]. LCC (Lack of Component Cohesion) = 0.4
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.core.advisor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.taobao.arthas.core.advisor; com.taobao.arthas.core.shell.command
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.core.advisor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.taobao.arthas.core.advisor; com.taobao.arthas.core; com.taobao.arthas.core.config; com.taobao.arthas.core.shell; com.taobao.arthas.core.shell.command
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.core.advisor,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.taobao.arthas.core.util.collection; com.taobao.arthas.core.util.reflect
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.taobao.arthas.core; com.taobao.arthas.core.config; com.taobao.arthas.core.util.reflect; com.taobao.arthas.core.util
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.taobao.arthas.core; com.taobao.arthas.core.config; com.taobao.arthas.core.shell; com.taobao.arthas.core.shell.command; com.taobao.arthas.core.advisor
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.core,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.taobao.arthas.core.config
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.core.command.basic1000,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.taobao.arthas.core.command.basic1000; com.taobao.arthas.core.command
