NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,(default package),MavenWrapperDownloader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,com.taobao.arthas.boot,Bootstrap,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 41 public methods
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net,DatagramSocketClient,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net,DefaultDatagramSocketFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net,MalformedServerReplyException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net,PrintCommandListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net,SocketClient,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NETASCII_EOL; __DEFAULT_SOCKET_FACTORY; __DEFAULT_SERVER_SOCKET_FACTORY; __commandSupport; _timeout_; _socket_; _hostname_; _defaultPort_; _input_; _output_; _socketFactory_; _serverSocketFactory_; DEFAULT_CONNECT_TIMEOUT; connectTimeout; receiveBufferSize; sendBufferSize; connProxy; charset
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net,SocketClient,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 41 public methods
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net.telnet,EchoOptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net.telnet,EchoOptionHandler,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TelnetOptionHandler
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net.telnet,SimpleOptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net.telnet,SimpleOptionHandler,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TelnetOptionHandler
arthas-all-3.1.6,fd217e1160a74d206530c8498ce16b33a42746b4,Tue Dec 03 19:44:56 CET 2019,arthas,org.apache.commons.net.telnet,SuppressGAOptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
