NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, Implementation Smell, Cause of the Smell
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onCreate,Long Statement,The length of the statement "((CardView)viewHolder.itemView).setCardBackgroundColor(ContextCompat.getColor(ItemDragAndSwipeUseActivity.this`R.color.color_light_blue));" is 138.
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onCreate,Long Statement,The length of the statement "@Override public void onItemDragMoving( RecyclerView.ViewHolder source` int from` RecyclerView.ViewHolder target` int to){" is 122.
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onCreate,Long Statement,The length of the statement "@Override public void onItemSwipeMoving( Canvas canvas` RecyclerView.ViewHolder viewHolder` float dX` float dY` boolean isCurrentlyActive){" is 139.
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onCreate,Magic Number,The method contains a magic number: 2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onCreate,Magic Number,The method contains a magic number: 50
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onCreate,Magic Number,The method contains a magic number: 20
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onCreate,Magic Number,The method contains a magic number: 40
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemDragStart,Long Statement,The length of the statement "((CardView)viewHolder.itemView).setCardBackgroundColor(ContextCompat.getColor(ItemDragAndSwipeUseActivity.this`R.color.color_light_blue));" is 138.
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemSwipeMoving,Long Parameter List,The method has 5 parameters. 
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,onItemSwipeMoving,Magic Number,The method contains a magic number: 40
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,ItemDragAndSwipeUseActivity,getView,Long Statement,The length of the statement "view.setLayoutParams(new DrawerLayout.LayoutParams(ViewGroup.LayoutParams.MATCH_PARENT`ViewGroup.LayoutParams.WRAP_CONTENT));" is 125.
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,HeaderAndFooterUseActivity,getView,Long Statement,The length of the statement "view.setLayoutParams(new DrawerLayout.LayoutParams(ViewGroup.LayoutParams.MATCH_PARENT`ViewGroup.LayoutParams.WRAP_CONTENT));" is 125.
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,SectionUseActivity,onCreate,Magic Number,The method contains a magic number: 2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initMenu,Complex Method,Cyclomatic complexity of the method is 9
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initMenu,Magic Number,The method contains a magic number: 2
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initMenu,Magic Number,The method contains a magic number: 3
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initMenu,Magic Number,The method contains a magic number: 4
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initMenu,Magic Number,The method contains a magic number: 5
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initMenu,Missing default,The following switch statement is missing a default case: switch (position) {
v1.9.2,c94134218a2622ac6f48349c471706ec66731300,Thu Jul 14 11:47:17 CEST 2016,baserecyclerviewadapterhelper,com.chad.baserecyclerviewadapterhelper,AnimationUseActivity,initMenu,Missing default,The following switch statement is missing a default case: switch (position) {
