NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,butterknife,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ViewsTest; Example; Views; UnableToInjectException; InjectViewProcessor; InjectionPoint]; [ButterKnifeTestRunner]. LCC (Lack of Component Cohesion) = 0.29
butterknife-parent-1.3.0,ccdb93e3034e80c000273fd77e28ac5d34ab4783,Tue Mar 26 19:08:19 CET 2013,butterknife,test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Test]; [Test]; [Test]; [Test]; [Test]; [Inner]; [Test]. LCC (Lack of Component Cohesion) = 1.0
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,butterknife,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ViewsTest; Example; Views; UnableToInjectException; InjectViewProcessor; InjectionPoint]; [ButterKnifeTestRunner]. LCC (Lack of Component Cohesion) = 0.29
butterknife-parent-1.3.1,6bb4c5c9195ca9860604fe11c83bc30ed7a641c5,Sat Apr 13 02:51:25 CEST 2013,butterknife,test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Test]; [Test]; [Test]; [Test]; [Test]; [Inner]; [Test]. LCC (Lack of Component Cohesion) = 1.0
butterknife-parent-1.2.2,c7a90af6b43fbd414b1e28d024f43b1df9fec5c0,Tue Mar 12 08:01:32 CET 2013,butterknife,test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Test]; [Test]; [Test]; [Test]; [Test]; [Inner]; [Test]. LCC (Lack of Component Cohesion) = 1.0
butterknife-parent-1.3.2,0ce136ddde5a6c0bc51bde03808b3693451897c9,Sun Apr 28 08:55:40 CEST 2013,butterknife,butterknife,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ViewsTest; Example; Views; UnableToInjectException; InjectViewProcessor; InjectionPoint; SuperclassTest]; [ButterKnifeTestRunner]; [ButterKnifeTestRunner]. LCC (Lack of Component Cohesion) = 0.33
butterknife-parent-1.3.2,0ce136ddde5a6c0bc51bde03808b3693451897c9,Sun Apr 28 08:55:40 CEST 2013,butterknife,test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Test]; [Test]; [TargetTest; Target; TargetTest]; [ButterKnifeTestRunner]; [Test]; [ButterKnifeTestRunner]; [Target]; [Test]; [Inner]; [Test]. LCC (Lack of Component Cohesion) = 0.83
butterknife-parent-1.4.0,e67af0b892bc08aed4aab4aa5a53ec6b6f7306b4,Tue Jun 04 07:29:53 CEST 2013,butterknife,butterknife,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ViewsTest; Example; Views; UnableToInjectException; UnableToResetException; InjectViewProcessor; InjectionPoint; SuperclassTest; SuperclassTest]; [Example]. LCC (Lack of Component Cohesion) = 0.2
butterknife-parent-1.4.0,e67af0b892bc08aed4aab4aa5a53ec6b6f7306b4,Tue Jun 04 07:29:53 CEST 2013,butterknife,test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Test]; [Test]; [TargetTest; Target; TargetTest]; [Test]; [Target]; [Test]; [Inner]; [Test]. LCC (Lack of Component Cohesion) = 0.8
butterknife-parent-2.0.0,1a3d50197d4fe9353c37ffd3b46ba42439dc63bd,Wed Jul 17 08:13:58 CEST 2013,butterknife,butterknife,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ViewsTest; Example; Views; UnableToInjectException; UnableToResetException; SuperclassTest; SuperclassTest]; [Example]. LCC (Lack of Component Cohesion) = 0.25
