NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 196
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 27543
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.codehaus.janino; org.codehaus.janino.util
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino.tools,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HprofScrubber; Site; Sample]; [JGrep; Action; MethodInvocationTarget; MethodInvocationPredicate; MethodInvocationAction; JGrepIClassLoader]. LCC (Lack of Component Cohesion) = 0.22
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino.util,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.codehaus.janino.util; org.codehaus.janino
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.codehaus.janino
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AutoIndentWriter]; [Benchmark; Reporter]; [ClassFile; ConstantPoolInfo; ConstantValuePoolInfo; ConstantClassInfo; ConstantFieldrefInfo; ConstantMethodrefInfo; ConstantInterfaceMethodrefInfo; ConstantStringInfo; ConstantIntegerInfo; ConstantFloatInfo; ConstantLongInfo; ConstantDoubleInfo; ConstantNameAndTypeInfo; ConstantUtf8Info; MethodInfo; FieldInfo; AttributeInfo; ConstantValueAttribute; ExceptionsAttribute; InnerClassesAttribute; Entry; SyntheticAttribute; SourceFileAttribute; LineNumberTableAttribute; LocalVariableTableAttribute; DeprecatedAttribute; CodeAttribute; ExceptionTableEntry; ResourceFinderClassLoader]; [Entry]; [Entry]; [MultiIterator]; [Producer]; [StringPattern]; [TeeReader]; [Traverser]. LCC (Lack of Component Cohesion) = 0.26
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,org.codehaus.janino.util.iterator,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DirectoryIterator; State; MultiDimensionalIterator; ProducerIterator; UniterableElementException; EnumerationIterator; TraversingIterator]; [FilterIterator]; [FilterListIterator; ReverseListIterator]; [IteratorCollection]; [TransformingIterator]. LCC (Lack of Component Cohesion) = 0.42
v2.9.5,7a85b4f38df78ab38b40f269c8d7c66064ac5255,Sat May 02 01:07:52 CEST 2015,bytecode-viewer,the.bytecode.club.bytecodeviewer.api,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: the.bytecode.club.bytecodeviewer.api; the.bytecode.club.bytecodeviewer
