NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.alibaba.otter.canal.client,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.otter.canal.client; com.alibaba.otter.canal.client.impl
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.alibaba.otter.canal.client,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.alibaba.otter.canal.client.impl
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.16. All the dependencies among components: from: com.alibaba.otter.canal.client to: com.alibaba.otter.canal.client.impl; from: com.alibaba.otter.canal.client to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.client.impl to: com.alibaba.otter.canal.client; from: com.alibaba.otter.canal.client.impl to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.client.impl to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.client.impl to: com.alibaba.otter.canal.common.zookeeper.running; from: com.alibaba.otter.canal.client.impl to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.client.impl to: com.alibaba.otter.canal.client.impl.running; from: com.alibaba.otter.canal.client.impl.running to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.client.impl.running to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.client.running to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.client.running to: com.alibaba.otter.canal.client.impl.running; from: com.alibaba.otter.canal.client.running to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.common to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.common to: com.alibaba.otter.canal.common.zookeeper.running; from: com.alibaba.otter.canal.common.zookeeper.running to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.common.zookeeper.running to: com.alibaba.otter.canal.common.zookeeper; from: com.taobao.tddl.dbsync.binlog to: com.taobao.tddl.dbsync.binlog.event; from: com.taobao.tddl.dbsync.binlog to: com.taobao.tddl.dbsync.binlog.event.mariadb; from: com.taobao.tddl.dbsync.binlog.event to: com.taobao.tddl.dbsync.binlog; from: com.taobao.tddl.dbsync.binlog.event.mariadb to: com.taobao.tddl.dbsync.binlog.event; from: com.taobao.tddl.dbsync.binlog.event.mariadb to: com.taobao.tddl.dbsync.binlog; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.deployer.monitor; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.server.embedded; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.server.netty; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.instance.core; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.common.zookeeper.running; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.instance.manager; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.instance.spring; from: com.alibaba.otter.canal.deployer to: com.google.common.collect; from: com.alibaba.otter.canal.deployer to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.parse.driver.mysql to: com.alibaba.otter.canal.parse.driver.mysql.packets.client; from: com.alibaba.otter.canal.parse.driver.mysql to: com.alibaba.otter.canal.parse.driver.mysql.packets; from: com.alibaba.otter.canal.parse.driver.mysql to: com.alibaba.otter.canal.parse.driver.mysql.packets.server; from: com.alibaba.otter.canal.parse.driver.mysql to: com.alibaba.otter.canal.parse.driver.mysql.utils; from: com.alibaba.otter.canal.parse.driver.mysql.packets.client to: com.alibaba.otter.canal.parse.driver.mysql.utils; from: com.alibaba.otter.canal.parse.driver.mysql.packets to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.parse.driver.mysql.packets.server to: com.alibaba.otter.canal.parse.driver.mysql.utils; from: com.alibaba.otter.canal.parse.driver.mysql.packets.server to: com.alibaba.otter.canal.parse.driver.mysql.packets; from: com.alibaba.otter.canal.parse.driver.mysql.utils to: com.alibaba.otter.canal.parse.driver.mysql.packets.client; from: com.alibaba.otter.canal.parse.driver.mysql.utils to: com.alibaba.otter.canal.parse.driver.mysql.packets; from: com.alibaba.otter.canal.example to: com.alibaba.otter.canal.client; from: com.alibaba.otter.canal.example to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.example to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.filter.aviater to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.filter.aviater to: com.alibaba.otter.canal.filter; from: com.alibaba.otter.canal.filter to: com.alibaba.otter.canal.filter.aviater; from: com.alibaba.otter.canal.filter to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.store; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.parse; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.sink; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.meta; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.common.alarm; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.filter.aviater; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.parse.inbound; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.parse.index; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.parse.inbound.mysql; from: com.alibaba.otter.canal.instance.core to: com.alibaba.otter.canal.parse.ha; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.instance.manager.model; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.meta; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.store.memory; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.store; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.parse.inbound.group; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.parse; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.parse.inbound.mysql; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.parse.inbound; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.filter.aviater; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.parse.ha; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.parse.index; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.common.alarm; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.instance.manager to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.instance.manager.model to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.instance.spring to: com.alibaba.otter.canal.parse; from: com.alibaba.otter.canal.instance.spring to: com.alibaba.otter.canal.sink; from: com.alibaba.otter.canal.instance.spring to: com.alibaba.otter.canal.store; from: com.alibaba.otter.canal.instance.spring to: com.alibaba.otter.canal.meta; from: com.alibaba.otter.canal.instance.spring to: com.alibaba.otter.canal.common.alarm; from: com.alibaba.otter.canal.instance.spring.integrated to: com.alibaba.otter.canal.instance.core; from: com.alibaba.otter.canal.meta to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.meta to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.meta to: com.google.common.collect; from: com.alibaba.otter.canal.meta to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.meta to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.parse to: com.alibaba.otter.canal.parse.support; from: com.alibaba.otter.canal.parse to: com.alibaba.otter.canal.parse.inbound.mysql.dbsync; from: com.alibaba.otter.canal.parse to: com.alibaba.otter.canal.parse.driver.mysql; from: com.alibaba.otter.canal.parse to: com.taobao.tddl.dbsync.binlog; from: com.alibaba.otter.canal.parse to: com.alibaba.otter.canal.parse.driver.mysql.packets.client; from: com.alibaba.otter.canal.parse to: com.alibaba.otter.canal.parse.driver.mysql.packets; from: com.alibaba.otter.canal.parse to: com.alibaba.otter.canal.parse.driver.mysql.utils; from: com.alibaba.otter.canal.parse.ha to: com.alibaba.otter.canal.parse; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.parse.index; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.sink; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.filter; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.common.alarm; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.parse.support; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.parse.inbound.mysql; from: com.alibaba.otter.canal.parse.inbound to: com.alibaba.otter.canal.parse.inbound.mysql.dbsync; from: com.alibaba.otter.canal.parse.inbound.group to: com.alibaba.otter.canal.parse; from: com.alibaba.otter.canal.parse.inbound.group to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.parse.inbound.group to: com.alibaba.otter.canal.store.model; from: com.alibaba.otter.canal.parse.inbound.group to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.parse.inbound.group to: com.alibaba.otter.canal.sink.entry.group; from: com.alibaba.otter.canal.parse.inbound.group to: com.alibaba.otter.canal.parse.inbound.mysql; from: com.alibaba.otter.canal.parse.inbound.group to: com.alibaba.otter.canal.parse.support; from: com.alibaba.otter.canal.parse.inbound.group to: com.taobao.tddl.dbsync.binlog; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.inbound.mysql.dbsync; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.filter; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.inbound.mysql.local; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.inbound; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.taobao.tddl.dbsync.binlog; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.support; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.index; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.driver.mysql; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.driver.mysql.packets.client; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.driver.mysql.packets; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.driver.mysql.packets.server; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.driver.mysql.utils; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.ha; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.parse.inbound.mysql to: com.alibaba.otter.canal.parse.helper; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.alibaba.otter.canal.filter.aviater; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.taobao.tddl.dbsync.binlog; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.taobao.tddl.dbsync.binlog.event; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.taobao.tddl.dbsync.binlog.event.mariadb; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.alibaba.otter.canal.parse.inbound; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.alibaba.otter.canal.filter; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.alibaba.otter.canal.parse.inbound.mysql; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.alibaba.otter.canal.parse.driver.mysql.packets.server; from: com.alibaba.otter.canal.parse.inbound.mysql.dbsync to: com.google.common.collect; from: com.alibaba.otter.canal.parse.index to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.parse.index to: com.google.common.collect; from: com.alibaba.otter.canal.parse.index to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.parse.index to: com.alibaba.otter.canal.meta; from: com.alibaba.otter.canal.parse.index to: com.alibaba.otter.canal.store.helper; from: com.alibaba.otter.canal.parse.index to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.parse.index to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.protocol to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.protocol.position to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.canal.server to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.server to: com.alibaba.otter.canal.server.embedded; from: com.alibaba.otter.canal.server to: com.alibaba.otter.canal.instance.manager.model; from: com.alibaba.otter.canal.server to: com.alibaba.otter.canal.parse; from: com.alibaba.otter.canal.server to: com.alibaba.otter.canal.common.zookeeper; from: com.alibaba.otter.canal.server to: com.alibaba.otter.canal.server.netty; from: com.alibaba.otter.canal.server.embedded to: com.alibaba.otter.canal.instance.core; from: com.alibaba.otter.canal.server.embedded to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.server.embedded to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.server.embedded to: com.alibaba.otter.canal.store; from: com.alibaba.otter.canal.server.embedded to: com.google.common.collect; from: com.alibaba.otter.canal.server.netty to: com.alibaba.otter.canal.server.embedded; from: com.alibaba.otter.canal.server.netty to: com.alibaba.otter.canal.server.netty.handler; from: com.alibaba.otter.canal.server.netty to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.server.netty.handler to: com.alibaba.otter.canal.server.embedded; from: com.alibaba.otter.canal.server.netty.handler to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.server.netty.handler to: com.alibaba.otter.canal.common.zookeeper.running; from: com.alibaba.otter.canal.server.netty.handler to: com.alibaba.otter.canal.server.netty; from: com.alibaba.otter.canal.sink to: com.alibaba.otter.canal.filter; from: com.alibaba.otter.canal.sink to: com.alibaba.otter.canal.sink.stub; from: com.alibaba.otter.canal.sink to: com.alibaba.otter.canal.sink.entry.group; from: com.alibaba.otter.canal.sink.entry to: com.alibaba.otter.canal.store; from: com.alibaba.otter.canal.sink.entry to: com.alibaba.otter.canal.store.model; from: com.alibaba.otter.canal.sink.entry to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.sink.entry.group to: com.alibaba.otter.canal.store.model; from: com.alibaba.otter.canal.sink.stub to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.sink.stub to: com.alibaba.otter.canal.store.model; from: com.alibaba.otter.canal.store to: com.alibaba.otter.canal.meta; from: com.alibaba.otter.canal.store to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.store.helper to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.store.helper to: com.alibaba.otter.canal.store.model; from: com.alibaba.otter.canal.store.helper to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.store.memory to: com.alibaba.otter.canal.store.model; from: com.alibaba.otter.canal.store.memory to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.store.memory to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.store.memory to: com.alibaba.otter.canal.store.helper; from: com.alibaba.otter.canal.store.model to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.canal.store.model to: com.alibaba.otter.canal.protocol; from: com.alibaba.otter.canal.store.model to: com.alibaba.otter.canal.common.utils; from: com.alibaba.otter.cancel.store.memory.buffer to: com.alibaba.otter.canal.store.memory; from: com.alibaba.otter.cancel.store.memory.buffer to: com.alibaba.otter.canal.protocol.position; from: com.alibaba.otter.cancel.store.memory.buffer to: com.alibaba.otter.canal.store.model; from: com.alibaba.otter.cancel.store.memory.buffer to: com.alibaba.otter.canal.store.helper; from: com.alibaba.otter.cancel.store.memory.buffer to: com.alibaba.otter.canal.common.utils.
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.alibaba.otter.canal.client.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.otter.canal.client.impl; com.alibaba.otter.canal.client
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.alibaba.otter.canal.common.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddressUtils]; [BooleanMutex; Sync]; [CanalToStringStyle]; [OtterDateStyle]; [JsonUtils; InetAddressSerializer]; [NamedThreadFactory]; [UriUtils]. LCC (Lack of Component Cohesion) = 0.78
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.taobao.tddl.dbsync.binlog,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.taobao.tddl.dbsync.binlog; com.taobao.tddl.dbsync.binlog.event
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.taobao.tddl.dbsync.binlog,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.taobao.tddl.dbsync.binlog; com.taobao.tddl.dbsync.binlog.event.mariadb; com.taobao.tddl.dbsync.binlog.event
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.taobao.tddl.dbsync.binlog,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.taobao.tddl.dbsync.binlog.event.mariadb
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.taobao.tddl.dbsync.binlog.event,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
v1.0.23,f745c698e9f3c0c3b3e9927eb61f36458ece5279,Fri Dec 30 07:57:19 CET 2016,canal,com.taobao.tddl.dbsync.binlog.event,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.taobao.tddl.dbsync.binlog.event; com.taobao.tddl.dbsync.binlog
