NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Design Smell, Cause of the Smell
v1.0.1,4ac86044d361d1b1bc015dadb9854733457a8258,Fri Jan 24 10:31:08 CET 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.0.1,4ac86044d361d1b1bc015dadb9854733457a8258,Fri Jan 24 10:31:08 CET 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.1.1,2601e9b860a7fcf8a27eeeecc1acbcb51daace2b,Sun Jul 06 11:21:22 CEST 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.1.1,2601e9b860a7fcf8a27eeeecc1acbcb51daace2b,Sun Jul 06 11:21:22 CEST 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.2.0,9051f888d2ab5c033fe67ac6e4624ea64e1e4869,Mon Aug 11 17:30:03 CEST 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.2.0,9051f888d2ab5c033fe67ac6e4624ea64e1e4869,Mon Aug 11 17:30:03 CEST 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.0.0,0aac8e7a8a09e495f29ca92fb759bc57613c8d4a,Mon Jan 20 21:56:35 CET 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.0.0,0aac8e7a8a09e495f29ca92fb759bc57613c8d4a,Mon Jan 20 21:56:35 CET 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.2.1,dc948278e8fa27e307e4de873c48b026d1c72d7c,Mon Nov 17 18:08:26 CET 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v1.2.1,dc948278e8fa27e307e4de873c48b026d1c72d7c,Mon Nov 17 18:08:26 CET 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
