NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v1.0.1,4ac86044d361d1b1bc015dadb9854733457a8258,Fri Jan 24 10:31:08 CET 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,18,0,13,8,135,22,0,0,0.23076923076923078,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/circleimageview/src/main/java/de/hdodenhof/circleimageview/CircleImageView.java
v1.0.1,4ac86044d361d1b1bc015dadb9854733457a8258,Fri Jan 24 10:31:08 CET 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,0,0,3,2,17,4,0,0,-1.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/sample/src/main/java/de/hdodenhof/circleimageview/sample/MainActivity.java
v1.0.1,4ac86044d361d1b1bc015dadb9854733457a8258,Fri Jan 24 10:31:08 CET 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainFragment,0,0,2,2,8,2,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/sample/src/main/java/de/hdodenhof/circleimageview/sample/MainActivity.java
v1.1.1,2601e9b860a7fcf8a27eeeecc1acbcb51daace2b,Sun Jul 06 11:21:22 CEST 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,20,0,17,12,163,29,0,0,0.17647058823529413,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/circleimageview/src/main/java/de/hdodenhof/circleimageview/CircleImageView.java
v1.1.1,2601e9b860a7fcf8a27eeeecc1acbcb51daace2b,Sun Jul 06 11:21:22 CEST 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,0,0,3,2,17,4,0,0,-1.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/sample/src/main/java/de/hdodenhof/circleimageview/sample/MainActivity.java
v1.1.1,2601e9b860a7fcf8a27eeeecc1acbcb51daace2b,Sun Jul 06 11:21:22 CEST 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainFragment,0,0,2,2,8,2,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/sample/src/main/java/de/hdodenhof/circleimageview/sample/MainActivity.java
v1.2.0,9051f888d2ab5c033fe67ac6e4624ea64e1e4869,Mon Aug 11 17:30:03 CEST 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,20,0,19,13,172,31,0,0,0.10526315789473684,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/circleimageview/src/main/java/de/hdodenhof/circleimageview/CircleImageView.java
v1.2.0,9051f888d2ab5c033fe67ac6e4624ea64e1e4869,Mon Aug 11 17:30:03 CEST 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,0,0,3,2,17,4,0,0,-1.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/sample/src/main/java/de/hdodenhof/circleimageview/sample/MainActivity.java
v1.2.0,9051f888d2ab5c033fe67ac6e4624ea64e1e4869,Mon Aug 11 17:30:03 CEST 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainFragment,0,0,2,2,8,2,0,0,-1.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/sample/src/main/java/de/hdodenhof/circleimageview/sample/MainActivity.java
v1.0.0,0aac8e7a8a09e495f29ca92fb759bc57613c8d4a,Mon Jan 20 21:56:35 CET 2014,circleimageview,de.hdodenhof.circleimageview,CircleImageView,18,0,13,8,127,21,0,0,0.23076923076923078,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/circleimageview/src/main/java/de/hdodenhof/circleimageview/CircleImageView.java
v1.0.0,0aac8e7a8a09e495f29ca92fb759bc57613c8d4a,Mon Jan 20 21:56:35 CET 2014,circleimageview,de.hdodenhof.circleimageview.sample,MainActivity,0,0,3,2,17,4,0,0,-1.0,0,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11070640599416077619/circleimageview/sample/src/main/java/de/hdodenhof/circleimageview/sample/MainActivity.java
