NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 92
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.lmax.disruptor; com.lmax.disruptor.util
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.lmax.disruptor; com.lmax.disruptor.support; com.lmax.disruptor.util
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.lmax.disruptor.util; com.lmax.disruptor
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.lmax.disruptor.util; com.lmax.disruptor; com.lmax.disruptor.support
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.lmax.disruptor
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.lmax.disruptor.support; com.lmax.disruptor
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor.support,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.lmax.disruptor.support; com.lmax.disruptor.util; com.lmax.disruptor
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor.support,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.lmax.disruptor
mike_3x_experimental,ba1f83ad7820a94906048205361a743a8ec1ade1,Thu Oct 11 13:36:04 CEST 2012,disruptor,com.lmax.disruptor.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EventCountingQueueProcessor]; [EventCountingWorkHandler; ValueEvent; ValueMutationEventHandler; ValuePublisher; LatencyStepEventHandler; ValueAdditionEventHandler]; [FizzBuzzEvent; FizzBuzzEventHandler]; [FizzBuzzQueueProcessor]; [FunctionEvent; FunctionEventHandler]; [FunctionQueueProcessor]; [LatencyStepQueueProcessor]; [PerfTestUtil]; [ValueAdditionQueueProcessor]; [ValueMutationQueueProcessor]; [ValueQueuePublisher]; [Actions]; [LongEvent]; [StubEvent]; [TestEvent]; [TestWaiter]. LCC (Lack of Component Cohesion) = 0.7
