NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, Method Name, LOC, CC, PC
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkAnalyzerProvider,IkAnalyzerProvider,5,1,5
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkAnalyzerProvider,getIkSmartAnalyzerProvider,3,1,4
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkAnalyzerProvider,getIkAnalyzerProvider,3,1,4
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkAnalyzerProvider,get,3,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkTokenizerFactory,IkTokenizerFactory,4,1,4
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkTokenizerFactory,getIkTokenizerFactory,3,1,4
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkTokenizerFactory,getIkSmartTokenizerFactory,3,1,4
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkTokenizerFactory,setSmart,4,1,1
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkTokenizerFactory,create,3,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.plugin.analysis.ik,AnalysisIkPlugin,getTokenizers,6,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.plugin.analysis.ik,AnalysisIkPlugin,getAnalyzers,6,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,Configuration,8,1,2
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,getConfigInPluginDir,3,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,isUseSmart,3,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,setUseSmart,4,1,1
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,getEnvironment,3,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,getSettings,3,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,isEnableRemoteDict,3,1,0
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,isEnableLowercase,3,1,0
