NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkAnalyzerProvider,1,0,4,4,17,4,0,0,0.75,1,3,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkAnalyzerProvider.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.index.analysis,IkTokenizerFactory,1,0,5,5,20,5,0,0,0.0,1,2,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkTokenizerFactory.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.elasticsearch.plugin.analysis.ik,AnalysisIkPlugin,1,1,2,2,15,2,0,0,1.0,2,0,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\elasticsearch\plugin\analysis\ik\AnalysisIkPlugin.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.cfg,Configuration,5,0,8,8,37,8,0,0,0.25,7,2,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\wltea\analyzer\cfg\Configuration.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.core,AnalyzeContext,12,0,23,1,260,46,0,0,0.0,6,6,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.core,CharacterUtil,5,5,2,0,50,9,0,0,1.0,4,0,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\wltea\analyzer\core\CharacterUtil.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.core,CJKSegmenter,2,0,3,2,56,14,0,1,0.0,1,5,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\wltea\analyzer\core\CJKSegmenter.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.core,CN_QuantifierSegmenter,6,0,7,2,141,27,0,1,0.0,1,5,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\wltea\analyzer\core\CN_QuantifierSegmenter.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.core,IKArbitrator,0,0,5,0,83,13,0,0,-1.0,1,4,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\wltea\analyzer\core\IKArbitrator.java
v7.8.0,1375ca6d39c53c85542ee4e8c147bfff8131e420,Wed Jun 10 10:05:01 CEST 2020,elasticsearch-analysis-ik,org.wltea.analyzer.core,IKSegmenter,5,0,5,3,83,12,0,0,0.0,1,7,C:\Users\Grazia\AppData\Local\Temp\RD-3429897340718607722\elasticsearch-analysis-ik\src\main\java\org\wltea\analyzer\core\IKSegmenter.java
