NameTag ,HashCommit, Date, Project Name, Package Name, Architecture Smell, Cause of the Smell
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 44
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.appinfo; com.netflix.discovery.shared
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.appinfo; com.netflix.discovery.shared; com.netflix.discovery
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.appinfo; com.netflix.discovery.shared; com.netflix.discovery; com.netflix.discovery.shared.transport.jersey
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.appinfo; com.netflix.discovery.shared; com.netflix.discovery; com.netflix.discovery.shared.transport.jersey; com.netflix.discovery.shared.transport
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.netflix.discovery.shared; com.netflix.discovery; com.netflix.appinfo.providers; com.netflix.discovery.converters; com.netflix.discovery.util
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 10.95. All the dependencies among components: from: com.netflix.appinfo to: com.netflix.discovery.shared; from: com.netflix.appinfo to: com.netflix.discovery; from: com.netflix.appinfo to: com.netflix.discovery.internal.util; from: com.netflix.appinfo to: com.netflix.appinfo.providers; from: com.netflix.appinfo to: com.netflix.discovery.converters; from: com.netflix.appinfo to: com.netflix.discovery.util; from: com.netflix.appinfo.providers to: com.netflix.appinfo; from: com.netflix.appinfo.providers to: com.netflix.discovery; from: com.netflix.appinfo.providers to: com.netflix.discovery.internal.util; from: com.netflix.discovery to: com.netflix.discovery.shared.transport.jersey; from: com.netflix.discovery to: com.netflix.discovery.shared.transport; from: com.netflix.discovery to: com.netflix.discovery.internal.util; from: com.netflix.discovery to: com.netflix.appinfo; from: com.netflix.discovery to: com.netflix.discovery.endpoint; from: com.netflix.discovery to: com.netflix.discovery.shared.resolver; from: com.netflix.discovery to: com.netflix.discovery.util; from: com.netflix.discovery to: com.netflix.discovery.shared.resolver.aws; from: com.netflix.discovery to: com.netflix.discovery.shared; from: com.netflix.discovery to: com.netflix.discovery.junit.resource; from: com.netflix.discovery to: com.netflix.discovery.converters; from: com.netflix.discovery.converters to: com.netflix.discovery.shared; from: com.netflix.discovery.converters to: com.netflix.appinfo; from: com.netflix.discovery.converters to: com.netflix.discovery.util; from: com.netflix.discovery.converters to: com.netflix.discovery; from: com.netflix.discovery.converters to: com.netflix.discovery.converters.jackson; from: com.netflix.discovery.converters to: com.netflix.discovery.converters.wrappers; from: com.netflix.discovery.converters to: com.netflix.eureka.cluster.protocol; from: com.netflix.discovery.converters.jackson to: com.netflix.appinfo; from: com.netflix.discovery.converters.jackson to: com.netflix.discovery.converters.jackson.mixin; from: com.netflix.discovery.converters.jackson to: com.netflix.discovery.converters; from: com.netflix.discovery.converters.jackson to: com.netflix.discovery.shared; from: com.netflix.discovery.converters.jackson.builder to: com.netflix.discovery.util; from: com.netflix.discovery.converters.jackson.builder to: com.netflix.discovery.converters; from: com.netflix.discovery.converters.jackson.builder to: com.netflix.appinfo; from: com.netflix.discovery.converters.jackson.serializer to: com.netflix.discovery.converters; from: com.netflix.discovery.converters.jackson.serializer to: com.netflix.discovery.shared; from: com.netflix.discovery.converters.jackson.serializer to: com.netflix.appinfo; from: com.netflix.discovery.converters.wrappers to: com.netflix.discovery.converters.jackson; from: com.netflix.discovery.converters.wrappers to: com.netflix.discovery.converters; from: com.netflix.discovery.endpoint to: com.netflix.appinfo; from: com.netflix.discovery.endpoint to: com.netflix.discovery; from: com.netflix.discovery.guice to: com.netflix.appinfo; from: com.netflix.discovery.guice to: com.netflix.appinfo.providers; from: com.netflix.discovery.guice to: com.netflix.discovery.providers; from: com.netflix.discovery.guice to: com.netflix.discovery; from: com.netflix.discovery.guice to: com.netflix.discovery.shared.resolver; from: com.netflix.discovery.guice to: com.netflix.discovery.shared.transport.jersey; from: com.netflix.discovery.guice to: com.netflix.discovery.shared.transport; from: com.netflix.discovery.guice to: com.netflix.discovery.shared.transport.jersey2; from: com.netflix.discovery.provider to: com.netflix.discovery.converters.wrappers; from: com.netflix.discovery.provider to: com.netflix.appinfo; from: com.netflix.discovery.providers to: com.netflix.discovery; from: com.netflix.discovery.shared to: com.netflix.appinfo; from: com.netflix.discovery.shared to: com.netflix.discovery; from: com.netflix.discovery.shared to: com.netflix.discovery.util; from: com.netflix.discovery.shared.dns to: com.netflix.discovery.endpoint; from: com.netflix.discovery.shared.resolver to: com.netflix.discovery; from: com.netflix.discovery.shared.resolver to: com.netflix.discovery.shared.dns; from: com.netflix.discovery.shared.resolver to: com.netflix.discovery.endpoint; from: com.netflix.discovery.shared.resolver to: com.netflix.discovery.shared.transport; from: com.netflix.discovery.shared.resolver to: com.netflix.appinfo; from: com.netflix.discovery.shared.resolver.aws to: com.netflix.discovery; from: com.netflix.discovery.shared.resolver.aws to: com.netflix.discovery.shared.transport; from: com.netflix.discovery.shared.resolver.aws to: com.netflix.discovery.shared; from: com.netflix.discovery.shared.resolver.aws to: com.netflix.appinfo; from: com.netflix.discovery.shared.resolver.aws to: com.netflix.discovery.shared.resolver; from: com.netflix.discovery.shared.resolver.aws to: com.netflix.discovery.endpoint; from: com.netflix.discovery.shared.resolver.aws to: com.netflix.discovery.shared.transport.decorator; from: com.netflix.discovery.shared.resolver.aws to: com.netflix.discovery.util; from: com.netflix.discovery.shared.transport.decorator to: com.netflix.discovery.shared.transport; from: com.netflix.discovery.shared.transport.decorator to: com.netflix.appinfo; from: com.netflix.discovery.shared.transport.decorator to: com.netflix.discovery.util; from: com.netflix.discovery.shared.transport.decorator to: com.netflix.discovery.shared.resolver; from: com.netflix.discovery.shared.transport.decorator to: com.netflix.discovery; from: com.netflix.discovery.shared.transport.decorator to: com.netflix.discovery.shared.dns; from: com.netflix.discovery.shared.transport.decorator to: com.netflix.discovery.shared; from: com.netflix.discovery.shared.transport to: com.netflix.appinfo; from: com.netflix.discovery.shared.transport to: com.netflix.discovery.converters.wrappers; from: com.netflix.discovery.shared.transport to: com.netflix.discovery; from: com.netflix.discovery.shared.transport to: com.netflix.discovery.shared.resolver; from: com.netflix.discovery.shared.transport to: com.netflix.discovery.shared.resolver.aws; from: com.netflix.discovery.shared.transport to: com.netflix.discovery.shared.transport.decorator; from: com.netflix.discovery.shared.transport to: com.netflix.discovery.util; from: com.netflix.discovery.shared.transport to: com.netflix.discovery.shared; from: com.netflix.discovery.shared.transport to: com.netflix.discovery.internal.util; from: com.netflix.discovery.shared.transport to: com.netflix.eureka; from: com.netflix.discovery.shared.transport to: com.netflix.discovery.shared.transport.jersey; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.appinfo; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.discovery.shared.transport; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.discovery.shared; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.discovery.util; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.discovery.converters.wrappers; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.discovery.provider; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.discovery.shared.resolver; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.discovery; from: com.netflix.discovery.shared.transport.jersey to: com.netflix.discovery.shared.transport.decorator; from: com.netflix.discovery.util to: com.netflix.appinfo; from: com.netflix.discovery.util to: com.netflix.discovery.shared; from: com.netflix.discovery.util to: com.netflix.eureka; from: com.netflix.discovery.util to: com.netflix.eureka.transport; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.appinfo; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery.shared.transport; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery.shared; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery.util; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery.converters.wrappers; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery.provider; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery.shared.resolver; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery.shared.transport.jersey; from: com.netflix.discovery.shared.transport.jersey2 to: com.netflix.discovery.shared.transport.decorator; from: com.netflix.eureka.aws to: com.netflix.appinfo; from: com.netflix.eureka.aws to: com.netflix.eureka; from: com.netflix.eureka.aws to: com.netflix.discovery; from: com.netflix.eureka.aws to: com.netflix.eureka.registry; from: com.netflix.eureka.aws to: com.netflix.discovery.shared; from: com.netflix.eureka.aws to: com.netflix.discovery.endpoint; from: com.netflix.eureka.cluster to: com.netflix.eureka; from: com.netflix.eureka.cluster to: com.netflix.eureka.cluster.protocol; from: com.netflix.eureka.cluster to: com.netflix.appinfo; from: com.netflix.eureka.cluster to: com.netflix.eureka.registry; from: com.netflix.eureka.cluster to: com.netflix.eureka.util.batcher; from: com.netflix.eureka.cluster to: com.netflix.eureka.lease; from: com.netflix.eureka.cluster to: com.netflix.discovery; from: com.netflix.eureka.cluster to: com.netflix.eureka.resources; from: com.netflix.eureka.cluster to: com.netflix.discovery.endpoint; from: com.netflix.eureka.cluster to: com.netflix.eureka.transport; from: com.netflix.eureka.cluster to: com.netflix.discovery.shared.transport; from: com.netflix.eureka.cluster to: com.netflix.discovery.converters; from: com.netflix.eureka.cluster to: com.netflix.discovery.util; from: com.netflix.eureka.cluster.protocol to: com.netflix.appinfo; from: com.netflix.eureka.cluster.protocol to: com.netflix.discovery.converters; from: com.netflix.eureka.cluster.protocol to: com.netflix.discovery.shared.transport; from: com.netflix.eureka to: com.netflix.eureka.resources; from: com.netflix.eureka to: com.netflix.eureka.registry; from: com.netflix.eureka to: com.netflix.eureka.cluster; from: com.netflix.eureka to: com.netflix.appinfo; from: com.netflix.eureka to: com.netflix.eureka.util; from: com.netflix.eureka to: com.netflix.eureka.aws; from: com.netflix.eureka to: com.netflix.discovery; from: com.netflix.eureka to: com.netflix.discovery.converters; from: com.netflix.eureka to: com.netflix.discovery.util; from: com.netflix.eureka to: com.netflix.discovery.shared; from: com.netflix.eureka to: com.netflix.eureka.test.async.executor; from: com.netflix.eureka to: com.netflix.eureka.mock; from: com.netflix.eureka.registry to: com.netflix.eureka.util; from: com.netflix.eureka.registry to: com.netflix.eureka; from: com.netflix.eureka.registry to: com.netflix.discovery; from: com.netflix.eureka.registry to: com.netflix.eureka.resources; from: com.netflix.eureka.registry to: com.netflix.eureka.lease; from: com.netflix.eureka.registry to: com.netflix.appinfo; from: com.netflix.eureka.registry to: com.netflix.discovery.shared; from: com.netflix.eureka.registry to: com.netflix.eureka.registry.rule; from: com.netflix.eureka.registry to: com.netflix.eureka.aws; from: com.netflix.eureka.registry to: com.netflix.eureka.cluster; from: com.netflix.eureka.registry to: com.netflix.discovery.shared.transport.jersey; from: com.netflix.eureka.registry to: com.netflix.discovery.shared.transport; from: com.netflix.eureka.registry to: com.netflix.discovery.shared.resolver; from: com.netflix.eureka.registry to: com.netflix.eureka.transport; from: com.netflix.eureka.registry to: com.netflix.discovery.converters.wrappers; from: com.netflix.eureka.registry to: com.netflix.eureka.test.async.executor; from: com.netflix.eureka.registry.rule to: com.netflix.appinfo; from: com.netflix.eureka.registry.rule to: com.netflix.eureka.lease; from: com.netflix.eureka.registry.rule to: com.netflix.eureka.aws; from: com.netflix.eureka.resources to: com.netflix.eureka.registry; from: com.netflix.eureka.resources to: com.netflix.eureka; from: com.netflix.eureka.resources to: com.netflix.appinfo; from: com.netflix.eureka.resources to: com.netflix.eureka.cluster; from: com.netflix.eureka.resources to: com.netflix.eureka.aws; from: com.netflix.eureka.resources to: com.netflix.discovery.converters.wrappers; from: com.netflix.eureka.resources to: com.netflix.eureka.cluster.protocol; from: com.netflix.eureka.resources to: com.netflix.eureka.util; from: com.netflix.eureka.resources to: com.netflix.discovery.shared; from: com.netflix.eureka.resources to: com.netflix.discovery.util; from: com.netflix.eureka.resources to: com.netflix.discovery; from: com.netflix.eureka.resources to: com.netflix.discovery.shared.transport; from: com.netflix.eureka.resources to: com.netflix.eureka.transport; from: com.netflix.eureka.resources to: com.netflix.discovery.shared.transport.jersey; from: com.netflix.eureka.transport to: com.netflix.eureka; from: com.netflix.eureka.transport to: com.netflix.discovery.shared.transport; from: com.netflix.eureka.transport to: com.netflix.eureka.resources; from: com.netflix.eureka.transport to: com.netflix.discovery.shared.resolver; from: com.netflix.eureka.transport to: com.netflix.discovery.shared.transport.decorator; from: com.netflix.eureka.transport to: com.netflix.discovery.shared.dns; from: com.netflix.eureka.transport to: com.netflix.discovery.shared.transport.jersey; from: com.netflix.eureka.transport to: com.netflix.appinfo; from: com.netflix.eureka.transport to: com.netflix.eureka.cluster.protocol; from: com.netflix.eureka.transport to: com.netflix.eureka.cluster; from: com.netflix.eureka.transport to: com.netflix.discovery.shared.transport.jersey2; from: com.netflix.eureka.transport to: com.netflix.discovery.converters; from: com.netflix.eureka.util to: com.netflix.appinfo; from: com.netflix.eureka.util to: com.netflix.eureka.registry; from: com.netflix.eureka.util to: com.netflix.eureka.cluster; from: com.netflix.eureka.util to: com.netflix.eureka; from: com.netflix.eureka.util to: com.netflix.discovery.shared; from: com.netflix.eureka.util to: com.netflix.discovery; from: com.netflix.eureka.util to: com.netflix.eureka.aws; from: com.netflix.eureka.util to: com.netflix.discovery.shared.transport; from: com.netflix.eureka.mock to: com.netflix.discovery.shared; from: com.netflix.eureka.mock to: com.netflix.appinfo; from: com.netflix.eureka.guice to: com.netflix.eureka; from: com.netflix.eureka.guice to: com.netflix.eureka.cluster; from: com.netflix.eureka.guice to: com.netflix.eureka.aws; from: com.netflix.eureka.guice to: com.netflix.eureka.registry; from: com.netflix.eureka.guice to: com.netflix.eureka.resources; from: com.netflix.discovery.junit.resource to: com.netflix.appinfo; from: com.netflix.discovery.junit.resource to: com.netflix.discovery.shared.transport; from: com.netflix.discovery.junit.resource to: com.netflix.discovery; from: com.netflix.discovery.junit.resource to: com.netflix.discovery.shared.transport.jersey.
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo.providers,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.appinfo.providers; com.netflix.appinfo
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo.providers,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.netflix.appinfo.providers; com.netflix.discovery; com.netflix.appinfo
v1.9.16,1ef3c55f7012ee44d0b73e24abad5c2f180e7799,Fri Dec 20 18:41:42 CET 2019,eureka,com.netflix.appinfo.providers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Archaius1VipAddressResolver; EurekaConfigBasedInstanceInfoProvider; VipAddressResolver; Archaius2VipAddressResolver]; [CloudInstanceConfigProvider]; [MyDataCenterInstanceConfigProvider]; [CompositeInstanceConfigFactory; EurekaInstanceConfigFactory]. LCC (Lack of Component Cohesion) = 0.5
