NameTag ,HashCommit, Date, Project Name, Package Name, Type Name, NOF, NOPF, NOM, NOPM, LOC, WMC, NC, DIT, LCOM, FANIN, FANOUT, File path
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.okhttp,OkHttpUrlLoader,3,0,7,6,46,9,0,0,0.5714285714285714,2,5,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/okhttp/src/main/java/com/bumptech/glide/integration/okhttp/OkHttpUrlLoader.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.okhttp,Factory,2,0,5,4,34,7,0,0,0.6,2,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/okhttp/src/main/java/com/bumptech/glide/integration/okhttp/OkHttpUrlLoader.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.okhttp,OkHttpStreamFetcher,4,0,5,5,36,7,0,0,0.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/okhttp/src/main/java/com/bumptech/glide/integration/okhttp/OkHttpStreamFetcher.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.volley,VolleyStreamFetcherServerTest,3,0,15,13,142,24,0,0,0.2,1,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/volley/src/androidTest/java/com/bumptech/glide/integration/volley/VolleyStreamFetcherServerTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.volley,FakeSystemClock,0,0,1,1,8,1,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/volley/src/androidTest/java/com/bumptech/glide/integration/volley/VolleyStreamFetcherServerTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.volley,VolleyUrlLoader,3,0,7,6,46,9,0,0,0.5714285714285714,2,6,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/volley/src/main/java/com/bumptech/glide/integration/volley/VolleyUrlLoader.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.volley,Factory,2,0,5,4,34,7,0,0,0.6,2,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/volley/src/main/java/com/bumptech/glide/integration/volley/VolleyUrlLoader.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.volley,VolleyRequestFuture,5,0,10,9,84,21,0,0,0.2,5,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/volley/src/main/java/com/bumptech/glide/integration/volley/VolleyRequestFuture.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.volley,VolleyStreamFetcher,5,0,11,8,66,16,0,0,0.2727272727272727,3,4,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/volley/src/main/java/com/bumptech/glide/integration/volley/VolleyStreamFetcher.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide.integration.volley,GlideRequest,2,0,4,2,18,4,0,0,0.5,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/integration/volley/src/main/java/com/bumptech/glide/integration/volley/VolleyStreamFetcher.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,DrawableTypeRequestTest,3,0,4,4,22,4,0,0,0.5,0,9,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/DrawableTypeRequestTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,GenericTranscodeRequestTest,3,0,3,3,19,3,0,0,0.6666666666666666,0,8,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/GenericTranscodeRequestTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,RequestManagerTest,6,0,29,29,157,29,0,0,0.0,0,15,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/RequestManagerTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,BitmapTypeRequestTest,3,0,5,5,27,5,0,0,0.4,0,9,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/BitmapTypeRequestTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,GenericRequestBuilderTest,1,0,23,22,85,23,0,0,0.0,0,9,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/GenericRequestBuilderTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,GlideTest,7,0,71,57,440,76,0,0,0.14084507042253522,1,27,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/GlideTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,CallCallback,2,0,3,3,16,3,0,0,0.6666666666666666,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/GlideTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,ShadowFileDescriptorContentResolver,2,0,5,5,26,7,0,0,0.0,1,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/GlideTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,ShadowMediaMetadataRetriever,0,0,1,1,7,1,0,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/GlideTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,ListPreloaderTest,2,0,27,10,196,45,0,0,0.8888888888888888,0,3,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/ListPreloaderTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,ListPreloaderAdapter,0,0,4,1,16,4,0,1,-1.0,1,1,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/ListPreloaderTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,GifTypeRequestTest,3,0,4,4,23,4,0,0,0.5,0,9,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/androidTest/java/com/bumptech/glide/GifTypeRequestTest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,BitmapTypeRequest,8,0,5,3,65,7,0,2,0.4,3,10,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/main/java/com/bumptech/glide/BitmapTypeRequest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,DownloadOptions,0,0,2,2,16,2,2,0,-1.0,0,0,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/main/java/com/bumptech/glide/DownloadOptions.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,BitmapRequestBuilder,6,0,38,34,306,38,1,1,0.7105263157894737,5,16,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/main/java/com/bumptech/glide/BitmapRequestBuilder.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,DrawableTypeRequest,8,0,7,4,65,9,0,2,0.0,5,12,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/main/java/com/bumptech/glide/DrawableTypeRequest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,GifTypeRequest,7,0,4,2,52,6,0,2,0.5,3,10,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/main/java/com/bumptech/glide/GifTypeRequest.java
v3.3.1,28744e4e2c68fae8a897eb9a8a579b24023746b6,Mon Sep 15 00:55:17 CEST 2014,glide,com.bumptech.glide,RequestManager,12,0,36,30,319,40,0,0,0.16666666666666666,22,21,/var/folders/44/7kyvtgkj663bsy8vj12fbryc0000gn/T/RD-11028247484763538044/glide/library/src/main/java/com/bumptech/glide/RequestManager.java
